Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
Jayboaah,76561198139449351,S25,52,Amateur,1.019,0.615,0.808,2.635,321.288,39.667,322.468,36.965,429.192,1366.954,7.019,2683.837,25.867,1.442
Jdawg118159,Jdawg118159,S25,55,Amateur,1.182,0.691,1.164,3.0,413.764,39.156,353.46,49.828,342.491,1463.443,11.614,2973.654,21.232,0.436
Savant Cyclops,76561198372487430,S25,51,Amateur,0.882,0.667,0.49,2.196,300.157,40.071,408.401,45.514,475.392,1450.436,11.117,2867.714,22.294,0.627
TimmyIU20,9e7b91a65fdd474680ecaef6feeaa99a,S25,51,Amateur,0.686,0.431,0.941,1.745,276.412,37.451,268.309,50.209,352.02,1264.569,4.269,2890.334,19.073,0.549
TwiztedDad2240,98828f0170784f809bb21e303f0c032a,S25,13,Amateur,0.769,0.692,1.154,1.615,308.385,43.59,258.064,49.713,377.077,1275.904,5.585,3153.882,18.594,0.462
nate_dog157,34016a0930d6405ba57294b0de47ea37,S25,31,Amateur,1.226,0.484,0.581,3.097,355.871,37.793,460.12,47.001,369.774,1464.36,11.291,3035.657,19.058,0.742
ASAPxLEG,9bf7a786ec6f407db493d328612839ea,S25,30,Amateur,0.467,0.367,1.0,1.667,277.267,31.122,298.436,50.889,397.733,1421.369,9.086,3269.207,18.781,1.067
BowlerBigT,BowlerBigT,S25,37,Amateur,0.514,0.432,1.054,1.622,265.324,29.854,225.692,51.715,370.432,1324.592,4.534,2937.396,21.062,0.27
GeneralLeigh91,GeneralLeigh91,S25,56,Amateur,1.286,0.393,1.018,3.125,398.536,39.624,309.749,51.946,422.071,1447.388,8.557,2977.672,20.355,0.786
IenVy murph,IenVy murph,S25,27,Amateur,0.519,0.185,1.593,1.333,303.815,43.616,276.414,53.042,289.519,1408.416,7.213,2956.447,18.481,0.185
Regal_King1,7ef3338cb94941ddaf1ba05c037c62be,S25,50,Amateur,1.0,0.42,0.98,2.34,342.62,43.032,298.871,57.979,309.66,1425.143,8.909,3243.919,18.782,0.38
Rich-Rollin6060,Rich-Rollin6060,S25,49,Amateur,0.51,0.592,0.735,2.102,277.408,23.656,377.104,44.934,441.531,1406.96,8.995,2893.438,22.251,1.306
SavedHawk,8d973b628a5f4cf2a94b8e2325606656,S25,34,Amateur,0.382,0.235,0.647,1.324,214.794,28.513,383.807,51.548,275.382,1506.237,12.696,3226.044,16.044,0.853
BlackHoleX,76561198037203316,S25,34,Amateur,0.412,0.529,1.0,1.235,246.824,35.588,275.875,44.348,327.382,1302.105,5.006,3186.504,17.539,0.412
FULLBL00DN8V,FULLBL00DN8V,S25,37,Amateur,0.649,0.351,0.838,1.838,258.0,36.1,350.846,47.534,432.784,1439.006,9.291,2917.55,24.076,0.595
MedicMac121,d7044c2dab724204be4ef33eb9771dfe,S25,45,Amateur,0.689,0.511,0.756,1.978,282.333,33.666,419.042,46.789,436.933,1520.449,11.464,3074.909,20.531,0.778
Studog43,76561198009513368,S25,53,Amateur,0.698,0.453,0.906,1.943,281.83,39.019,278.674,50.533,330.0,1425.749,8.338,3102.314,17.758,1.0
mushxie,mushxie,S25,56,Amateur,1.339,0.446,1.143,3.036,405.0,42.16,290.473,51.384,284.857,1433.704,7.882,2991.775,19.691,0.625
sXCyBeast,76561198121287066,S25,52,Amateur,0.712,0.442,0.635,1.962,268.385,33.305,359.036,50.991,538.308,1409.888,9.347,3171.93,19.274,0.904
Ander,76561198045237415,S25,48,Amateur,0.479,0.458,1.146,2.021,297.271,21.055,263.487,52.194,428.063,1285.207,4.182,3173.689,19.24,1.042
BeanBornito,6b763342824848ecbde08790a0b2d55b,S25,14,Amateur,0.571,0.643,0.429,1.429,214.929,40.952,361.942,45.709,390.714,1464.611,9.008,3329.663,16.041,0.571
OnContract,6f5542a9cc5a49c188a708a586b1467e,S25,35,Amateur,0.457,0.257,1.371,1.314,274.143,39.184,317.832,45.763,344.286,1371.184,7.261,3359.443,16.825,0.714
RL Camaro,RL Camaro,S25,56,Amateur,0.875,0.518,0.821,2.661,334.893,32.555,326.767,51.865,324.607,1423.19,8.373,3041.457,20.777,0.464
Rocketgirl_32,c3924fa6d1904e809b3538692c5cb6de,S25,56,Amateur,1.286,0.536,1.286,2.732,390.054,46.588,326.888,52.096,374.482,1439.267,9.198,3302.083,21.114,0.536
Styk75,76561197984586200,S25,42,Amateur,0.452,0.405,0.762,1.667,236.071,24.626,207.698,57.217,316.429,1278.093,3.933,3304.061,18.862,0.381
seargd,79e5e2a1a7d243108d5ff9de037bcd4c,S25,44,Amateur,0.318,0.295,1.182,1.205,228.386,21.591,291.282,51.307,235.659,1277.487,5.863,3409.836,13.233,0.295
Ur.Fav.Spirit,bf1a95360e2d4655a03224c6872fff49,S25,31,Amateur,1.0,0.613,0.871,2.806,358.581,38.871,377.173,48.801,376.0,1423.003,9.431,2866.958,21.063,0.419
Ryzor,76561198011176829,S25,48,Amateur,0.771,0.458,1.083,2.354,312.25,32.268,400.313,52.289,383.875,1590.334,17.72,3521.713,16.32,1.354
ExtraKrispyBecky,ExtraKrispyBecky,S25,17,Amateur,0.353,0.412,0.765,0.941,191.529,36.667,322.018,41.909,282.647,1530.925,13.445,3716.985,17.623,0.471
WrecklessJay02,WrecklessJay02,S25,47,Amateur,0.957,0.362,0.979,2.34,337.468,41.169,382.823,44.205,354.532,1385.239,7.539,2879.84,18.095,0.447
Bronzetpole,76561198083538394,S25,26,Amateur,0.885,0.654,0.731,2.346,322.962,39.546,313.801,51.247,381.885,1437.336,8.949,3005.048,21.982,0.885
HappyBuffalo2230,76561198874963649,S25,28,Amateur,0.893,0.464,0.893,2.0,289.75,46.973,239.511,52.814,299.214,1375.185,7.02,3141.736,17.266,0.214
Lunar2nd,Lunar2nd,S25,19,Amateur,0.632,0.632,0.684,2.211,277.316,25.721,266.234,48.859,264.368,1300.282,5.4,2721.261,19.552,0.526
TTV/DucksNotKeys,76561198081248882,S25,17,Amateur,0.529,0.176,0.882,1.765,243.353,33.875,329.629,53.451,299.118,1373.771,9.15,2893.187,17.78,0.824
TitanKing.EGO,848e37d5bd244344901ce661a810d234,S25,2,Amateur,0.5,0.0,2.0,1.0,238.0,25.0,240.0,42.19,172.5,1266.5,3.057,3127.5,15.396,0.0
patchimusprime1_,d310838d4d9140088c7cee9f583caa49,S25,8,Amateur,0.125,0.5,0.625,1.5,212.75,5.556,237.571,53.357,266.125,1329.166,6.192,3046.662,19.392,0.375
BlueCrimsonJR,af1cde8250344c188cb186489bded5ab,S25,4,Amateur,1.0,0.25,0.5,2.25,306.0,44.444,384.551,49.368,394.75,1449.076,9.323,3264.602,15.499,1.0
D/\MN D/\NIEL,76561198826690089,S25,36,Prospect,0.806,0.5,1.111,2.444,320.333,29.507,425.177,51.926,620.0,1514.201,13.792,3041.729,20.478,1.056
GET2DACHOPPA5,af9381f4df5e479099b33a56eeda3104,S25,52,Prospect,0.654,0.654,1.385,2.385,334.981,25.158,322.761,53.11,609.288,1427.498,8.785,3218.097,24.155,1.692
Grey,76561198843043846,S25,19,Prospect,0.368,0.316,0.632,1.632,205.632,20.526,330.041,52.905,367.789,1426.938,8.175,3235.986,16.896,0.579
Gambit,76561198063227106,S25,43,Prospect,0.488,0.395,1.047,2.116,282.581,23.598,262.815,49.014,348.535,1375.011,5.933,2799.742,20.617,0.512
StruttRL,76561198033380824,S25,56,Prospect,0.679,0.571,1.196,2.321,330.661,29.824,372.086,51.81,444.232,1464.309,10.311,3136.577,20.449,1.018
fender_bender2,c779a59b852f48d58b18b1894dee97f9,S25,30,Prospect,0.833,0.333,0.967,2.833,345.2,27.199,291.15,53.011,331.7,1468.276,8.951,3001.299,19.251,0.4
itsu_desu,f211339b88a34c42887bbce4605fcbf0,S25,32,Prospect,0.781,0.375,1.125,2.5,329.719,29.149,421.302,48.2,469.469,1499.77,13.676,3040.972,17.948,0.812
Carno,76561197972805966,S25,39,Prospect,0.436,0.179,1.462,1.846,279.077,24.509,330.732,50.685,440.41,1365.696,8.237,3125.751,16.778,0.641
Cuddlingus,76561198051701160,S25,39,Prospect,0.513,0.385,1.077,1.769,266.795,27.223,428.886,46.36,681.051,1574.26,14.234,3119.983,21.908,1.795
Jito1017,e96f049a861c4266bdcde9d6615de704,S25,15,Prospect,1.067,0.6,1.333,3.133,419.0,32.061,348.141,53.657,463.933,1464.691,9.508,2937.518,20.065,0.267
MeOnDisplay,1c5c0ad03de34edab169e877a60042ae,S25,35,Prospect,0.714,0.686,0.657,2.257,296.371,32.18,346.248,51.633,402.543,1412.474,7.102,3192.662,17.597,0.629
Ole.Mr.Bison.,9288c772235d4beea3226f9c00f2541f,S25,32,Prospect,0.625,0.5,1.5,2.125,337.875,29.612,302.679,51.043,369.375,1417.314,7.14,3072.872,18.764,0.594
OvrSizedFrog,OvrSizedFrog,S25,52,Prospect,1.173,0.712,1.154,3.538,417.692,33.062,357.374,55.039,506.635,1474.738,11.16,2798.072,24.203,0.712
S1r Duck,af1e72181f9b43788ce4328ae3b7ab0b,S25,11,Prospect,0.636,0.909,1.0,2.364,331.818,27.824,350.497,48.779,428.455,1493.58,9.77,2980.729,21.787,0.909
Arana5418,54087c81c225434aa571e3a8cdb002d3,S25,18,Prospect,0.722,0.222,1.333,2.0,291.889,38.056,269.791,50.87,307.333,1406.213,9.305,3164.405,17.195,0.389
Mitzi,76561197994396807,S25,23,Prospect,0.565,0.522,0.957,1.609,276.478,34.369,334.979,40.658,462.609,1375.596,7.252,3034.859,19.896,0.652
MrKankleMeat,MrKankleMeat,S25,54,Prospect,0.611,0.444,1.5,2.241,327.833,26.263,268.364,53.204,355.5,1448.275,7.268,3284.318,18.087,0.648
Nando,76561198853017624,S25,10,Prospect,0.4,0.3,0.5,1.8,221.4,14.545,288.727,50.206,310.8,1423.16,8.185,2887.402,16.228,0.8
ShiftDrink,a3755dac3d894b8f849f0c363589c6d4,S25,21,Prospect,0.762,0.286,1.524,2.095,315.333,32.413,269.529,48.793,264.048,1374.753,6.098,2974.571,17.318,0.524
WILLBONG,1cdb5ce00e5d40289bf7f35f14c91889,S25,42,Prospect,0.69,0.405,1.214,2.095,319.952,33.652,309.957,52.621,402.762,1410.263,9.26,3316.502,17.018,1.071
Wildragon112,Wildragon112,S25,35,Prospect,0.857,0.371,1.457,2.257,351.4,38.363,329.576,45.234,432.229,1422.051,10.343,3212.567,18.607,0.457
yoshawatt,yoshawatt,S25,54,Prospect,1.074,0.722,1.0,3.333,376.593,29.759,384.772,47.038,543.37,1486.647,10.727,2857.773,23.13,0.741
Alextross,76561198057939013,S25,42,Prospect,0.929,0.81,1.214,2.69,367.286,29.556,306.614,52.233,563.5,1434.565,6.928,3018.152,22.944,0.738
CrucialUrchin,03d822c181f44fe297b6dec825e36425,S25,33,Prospect,0.576,0.273,1.121,1.515,269.303,43.16,429.211,42.216,342.182,1421.605,11.13,2875.176,14.474,0.545
El Booger Sugar,El Booger Sugar,S25,40,Prospect,0.525,0.3,1.45,1.55,300.025,30.727,327.32,50.6,375.525,1453.019,8.667,3024.008,16.224,0.925
Minjaaa,76561198107803969,S25,48,Prospect,1.125,0.583,1.063,3.292,402.896,33.094,329.145,52.42,612.146,1508.259,10.889,2993.487,25.929,1.167
VoodooMamaJuJu,76561198096558397,S25,49,Prospect,0.612,0.551,1.755,2.102,353.082,32.019,358.038,50.18,453.122,1516.709,13.459,2918.048,19.458,1.857
xPotatodactylx,52f7c6eac6e647a9902b3ba26a2704f9,S25,45,Prospect,0.844,0.711,1.533,2.867,372.111,29.07,380.583,46.09,518.578,1537.45,12.896,3299.155,21.313,0.956
Brillo_padd,e049585f26d942b9b07725e3aeee2db2,S25,51,Prospect,0.98,0.412,0.863,2.706,336.745,35.933,336.202,55.468,552.373,1409.742,5.988,2942.967,22.825,0.51
Detroeux,ee13d5f80b4a4ee4b17ef5b91a41a0ac,S25,39,Prospect,0.795,0.41,0.692,2.436,292.538,33.2,385.903,52.606,450.513,1479.475,10.732,2883.526,20.737,0.897
Eskonor.,4f7972fd07fd4479bc65813c19ea3d48,S25,41,Prospect,0.707,0.415,1.098,2.439,305.927,27.824,367.416,54.614,366.78,1445.191,10.578,2883.142,16.441,0.902
GameyMcGamertag,GameyMcGamertag,S25,38,Prospect,0.579,0.316,1.421,1.921,309.921,32.52,299.057,47.036,468.658,1388.145,6.848,2948.112,18.567,1.026
ItsRickalicious,f40c8d64a77f4a8f9b9af75c6046c884,S25,10,Prospect,0.4,0.3,1.6,1.7,283.5,27.429,350.887,51.849,349.3,1482.733,12.043,3414.318,16.895,0.9
Xcalibur9659,571782ae8a5240af8a05de968edf89f4,S25,30,Prospect,0.567,0.533,1.133,1.7,305.067,34.063,306.843,55.875,411.467,1443.826,8.377,3011.699,17.734,1.0
Zachthebull36,9960a57a9be74cbdae002b08cb6e6d66,S25,31,Prospect,0.548,0.71,0.935,2.419,299.226,25.081,318.623,49.31,558.645,1361.753,6.091,2869.263,23.588,0.903
Kflip11,Kflip11,S25,50,Prospect,0.98,0.68,0.98,2.46,362.6,44.283,349.343,52.181,504.62,1541.691,12.891,3126.267,22.063,0.38
M0USE_1,b1718a70353946f082058d264e2829f2,S25,37,Prospect,1.081,0.27,1.784,2.541,384.027,40.772,340.784,48.353,403.459,1411.712,8.478,2980.846,19.87,0.811
Smoky.,76561198848625234,S25,47,Prospect,1.128,0.851,1.191,3.085,396.17,40.127,436.914,51.652,519.383,1524.569,13.691,3051.906,18.919,1.064
Treefrog,76561198385309176,S25,41,Prospect,0.805,0.439,0.732,2.317,302.659,34.964,404.993,52.13,484.659,1580.809,14.683,3221.048,21.527,0.854
nate,76561197970285921,S25,34,Prospect,0.588,0.765,1.147,2.353,322.118,20.716,387.099,53.245,640.824,1567.505,15.442,3490.578,22.14,1.912
wolverine36535,76561198106469281,S25,46,Prospect,0.63,0.413,1.37,2.065,307.435,30.29,345.842,52.488,456.174,1458.585,11.691,3406.794,18.8,0.935
xTiTax_,76561198046496763,S25,50,Prospect,0.9,0.64,1.3,2.42,360.22,33.666,301.673,49.411,391.46,1409.259,7.871,2870.219,20.787,0.9
