Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
Ander,76561198045237415,S26,29,Amateur,0.759,0.448,1.138,1.931,302.966,35.799,284.636,52.567,505.138,1330.489,4.391,3162.965,22.301,1.172
CallMeSteveo53,CallMeSteveo53,S26,28,Amateur,0.607,0.393,0.643,1.679,247.893,37.143,344.22,50.067,478.679,1447.147,8.325,2937.006,23.465,0.964
Piky Life88,Piky Life88,S26,31,Amateur,0.935,0.613,1.323,2.645,383.387,31.413,287.098,49.929,488.645,1385.324,9.031,3374.007,19.382,1.806
Savant Cyclops,76561198372487430,S26,22,Amateur,1.182,0.818,0.773,2.5,379.682,48.355,444.501,42.28,408.455,1467.725,11.02,2636.79,21.701,0.864
demonikgoat4061,demonikgoat4061,S26,19,Amateur,0.579,0.789,0.842,1.526,294.0,32.268,301.572,46.226,440.316,1357.359,7.448,3268.562,18.395,1.105
nacho_nachos2,eb7d909c81a34a61b31ae1e22833f17a,S26,22,Amateur,0.955,0.455,0.727,1.909,272.136,48.878,287.036,45.452,395.682,1357.995,5.106,3113.808,19.128,0.773
sXCyBeast,76561198121287066,S26,24,Amateur,0.625,0.542,1.542,1.917,337.667,31.25,350.666,53.462,597.0,1412.374,9.217,3023.245,19.326,1.417
Budzy,Budzy,S26,30,Amateur,1.3,0.967,0.7,3.333,415.7,38.561,349.031,55.268,377.633,1475.525,8.751,2749.268,23.793,0.6
MedicMac121,d7044c2dab724204be4ef33eb9771dfe,S26,28,Amateur,1.107,0.571,0.786,2.25,327.679,54.592,460.554,44.813,545.571,1516.008,12.929,3108.604,22.164,1.107
OnContract,6f5542a9cc5a49c188a708a586b1467e,S26,25,Amateur,0.96,0.56,0.72,2.0,287.52,46.859,340.424,49.894,406.4,1455.238,9.149,3306.839,20.73,1.24
Regal_King1,7ef3338cb94941ddaf1ba05c037c62be,S26,29,Amateur,1.517,0.759,0.655,3.655,408.241,43.095,324.532,60.164,332.897,1472.803,12.088,3407.045,19.818,0.483
WrecklessJay02,WrecklessJay02,S26,16,Amateur,0.875,0.562,1.0,2.562,338.188,32.202,411.945,46.793,307.25,1425.17,9.228,2978.994,17.756,0.375
kxidn,86960dd10a8941a78b478aa968d925f0,S26,4,Amateur,0.5,0.0,1.0,2.0,202.0,25.0,302.036,51.64,320.0,1414.507,8.352,2884.925,20.114,0.5
ASAPxLEG,9bf7a786ec6f407db493d328612839ea,S26,32,Amateur,0.75,0.594,0.969,2.094,322.938,36.324,320.026,55.286,446.75,1427.325,10.309,3312.962,20.798,1.375
BlueCrimsonJR,af1cde8250344c188cb186489bded5ab,S26,27,Amateur,1.0,0.37,1.037,2.815,333.889,33.134,430.107,49.908,535.296,1529.131,12.254,3235.258,20.283,1.333
Budz.RL,24bc4ac40d004d3892d5ccaf2e689eaa,S26,1,Amateur,0.0,0.0,0.0,2.0,94.0,0.0,224.0,64.6,270.0,1433.0,6.126,3088.0,20.982,1.0
DadMcStuffins,ee68582defb5442e8a8ce2093f0cd865,S26,26,Amateur,0.538,0.423,0.962,1.462,263.385,33.211,488.253,48.56,326.923,1498.182,11.155,3418.121,13.965,0.231
IenVy murph,IenVy murph,S26,32,Amateur,0.594,0.344,1.344,1.938,304.312,31.078,296.685,53.865,436.125,1389.403,6.902,2957.708,20.773,0.344
Rich-Rollin6060G,856e58afea9442b99d69f9545e4f084c,S26,17,Amateur,0.706,0.588,0.471,2.118,276.529,28.451,369.433,42.435,457.294,1411.665,8.481,2810.987,23.984,1.235
Styk75,76561197984586200,S26,22,Amateur,1.0,0.409,1.318,2.182,342.182,49.004,218.669,55.346,301.5,1288.08,4.405,3218.899,20.573,0.455
ADG_Majin_Prez,ADG_Majin_Prez,S26,18,Amateur,1.333,0.444,0.944,2.722,378.722,46.204,259.276,54.643,276.889,1378.342,8.202,3187.089,18.721,0.667
Acp_Slackerr,Acp_Slackerr,S26,16,Amateur,0.625,0.688,1.375,2.25,348.75,22.5,384.656,58.701,366.812,1369.111,7.873,3015.63,17.773,0.125
FUU.EGO,848e37d5bd244344901ce661a810d234,S26,32,Amateur,0.406,0.406,0.969,1.5,249.969,23.785,268.766,52.967,315.625,1320.124,7.961,3273.437,16.11,0.25
Hoodlumdoom,Hoodlumdoom,S26,20,Amateur,0.7,0.4,0.75,2.1,302.3,34.345,407.156,46.769,438.35,1485.063,10.506,2842.961,20.267,0.15
Larr3yy,072a36ac22b64220832c3543fb44b993,S26,24,Amateur,0.5,0.292,0.875,1.042,223.042,50.149,370.314,46.556,406.958,1412.048,9.842,3529.975,13.388,1.875
SavedHawk,8d973b628a5f4cf2a94b8e2325606656,S26,29,Amateur,0.586,0.414,0.517,1.586,237.034,34.431,403.03,52.199,332.724,1539.739,13.635,3215.583,18.566,0.724
ShadowLightnin9,76561198874963649,S26,30,Amateur,0.8,0.3,1.233,2.5,324.167,30.16,268.586,54.05,350.333,1414.299,9.007,2934.875,17.973,0.6
Bobafett531132,Bobafett531132,S26,19,Amateur,0.474,0.263,0.579,1.0,200.263,55.088,240.589,54.35,303.368,1336.218,6.324,3379.287,16.935,0.474
RL Camaro,RL Camaro,S26,32,Amateur,0.875,0.375,0.906,2.844,351.781,28.547,318.456,51.467,383.406,1426.276,8.703,3165.078,20.047,0.5
Ryzor,76561198011176829,S26,31,Amateur,0.935,0.742,0.935,2.387,357.129,41.248,428.291,50.056,379.935,1594.94,17.996,3392.809,17.653,1.226
TwiztedDad2240,98828f0170784f809bb21e303f0c032a,S26,26,Amateur,0.731,0.577,0.654,2.692,285.154,25.263,300.73,50.851,375.077,1406.475,8.663,3214.707,18.946,0.615
seargd,79e5e2a1a7d243108d5ff9de037bcd4c,S26,14,Amateur,0.429,0.143,0.786,1.357,214.0,30.952,321.846,48.003,375.571,1362.541,8.234,3186.253,19.168,0.071
swway.,61d3ff3cf5a04673b2b52076a169016e,S26,18,Amateur,1.333,0.556,1.111,2.5,403.056,48.888,274.365,49.49,359.444,1364.191,7.561,2975.003,22.94,0.833
BeanBornito,6b763342824848ecbde08790a0b2d55b,S26,17,Amateur,0.882,0.353,0.647,2.294,271.647,39.275,354.14,47.772,526.529,1427.581,11.208,3338.344,18.898,0.824
BlackHoleX,76561198037203316,S26,10,Amateur,0.3,0.6,0.4,0.8,213.2,29.333,308.477,46.579,383.9,1338.567,5.911,3084.679,18.524,0.7
Bronzetpole,76561198083538394,S26,28,Amateur,0.571,0.321,0.893,1.786,274.107,32.229,296.754,52.852,419.107,1415.887,8.208,3052.524,21.763,0.857
FULLBL00DN8V,FULLBL00DN8V,S26,7,Amateur,0.714,0.0,1.143,1.857,254.286,37.755,327.794,49.558,353.571,1417.601,7.578,2895.452,21.327,1.429
TtvSavantCyclops,TtvSavantCyclops,S26,3,Amateur,1.667,0.667,1.0,3.333,439.333,50.0,436.683,46.69,388.0,1447.314,10.021,2403.876,25.579,0.333
BlueFac3s,BlueFac3s,S26,16,Amateur,0.125,0.438,0.562,0.875,154.875,12.5,277.131,49.924,326.625,1345.655,6.123,3068.638,17.604,0.375
Budz_973,Budz_973,S26,15,Amateur,0.6,0.8,0.8,2.2,297.333,28.413,275.553,51.654,328.533,1312.384,4.635,3000.877,19.801,0.6
Sloth,76561198131365821,S26,28,Amateur,1.393,0.286,1.036,3.036,398.571,46.761,296.6,52.036,408.429,1381.23,7.267,2719.777,22.232,0.75
Extrakrispybecky,afd6ba572ccf4464b77b76cda2166a75,S26,15,Amateur,0.533,0.133,1.2,1.4,258.533,34.889,328.624,43.373,225.0,1511.189,13.677,4143.116,14.533,1.2
Quagsire.,ea8f2dd3ee0a31f5,S26,4,Amateur,0.0,0.0,0.25,0.0,68.5,0.0,310.418,46.012,217.0,1404.781,8.531,2853.834,13.249,0.75
Rich-Rollin6060G,Rich-Rollin6060G,S26,9,Amateur,1.667,0.333,0.889,2.111,387.333,72.15,389.34,47.126,421.556,1406.637,9.099,2934.281,21.121,0.667
Grumpy Mittens,76561198127892254,S26,18,Amateur,0.5,0.167,0.944,1.667,250.111,24.167,307.588,51.106,285.833,1348.414,6.063,3072.377,15.936,0.444
TTV/DucksNotKeys,76561198081248882,S26,9,Amateur,0.444,0.333,1.0,1.556,257.333,22.222,370.47,56.114,326.222,1396.006,10.97,3358.331,16.494,1.0
Emily26210,9da5ca368563467f82c64469e05a34cf,S26,3,Amateur,2.333,0.0,0.333,4.667,438.333,50.0,323.306,43.878,435.667,1472.873,8.195,2825.99,21.779,0.0
Zonie789,Zonie789,S26,5,Amateur,0.8,0.4,0.4,2.6,261.4,33.333,343.261,44.656,399.2,1307.153,6.623,2635.443,23.737,0.0
Shinobu,76561198113452147,S26,4,Amateur,0.75,0.25,0.5,2.25,277.5,33.333,232.283,58.163,294.75,1390.567,5.175,2581.579,22.281,0.25
Ace112506,Ace112506,S26,4,Amateur,0.0,0.25,0.0,0.0,72.5,0.0,248.758,44.158,231.5,1353.565,4.644,3861.541,16.19,0.0
BBComedian,BBComedian,S26,4,Amateur,0.75,0.5,1.75,1.5,374.25,50.0,195.668,49.373,339.0,1338.536,4.91,3047.095,20.408,0.0
C-Loupe,15875dd96fcb47278c362041fa986167,S26,24,Master,1.083,0.833,1.375,3.208,401.917,33.244,469.591,48.887,567.167,1595.42,18.898,3086.831,18.523,0.875
Dyloh(?),76561198320470313,S26,32,Master,1.281,0.688,1.406,2.938,449.406,40.868,420.156,54.052,646.688,1518.743,12.72,2746.181,24.214,1.125
EliTW22Playz,38a8b93b2f334cf1976b1556c3dba881,S26,32,Master,1.188,0.844,1.562,3.219,466.594,36.564,406.206,51.643,642.125,1620.427,18.391,2718.175,22.82,1.438
Girth,76561198079737766,S26,9,Master,0.778,0.667,0.778,2.889,284.556,26.19,399.929,50.217,415.111,1532.63,12.86,2986.797,21.676,0.556
Nezitic   ,76561198964277114,S26,28,Master,1.214,0.607,1.036,3.75,390.679,32.895,436.629,50.696,615.893,1518.401,14.139,2788.143,22.963,1.179
Pillow,76561198123365718,S26,23,Master,0.783,0.87,1.043,2.957,359.217,26.756,390.401,46.463,538.913,1573.84,14.87,2993.389,24.36,1.13
tman,76561198202767771,S26,32,Master,0.562,0.688,1.562,2.344,366.938,21.903,401.655,46.33,493.344,1499.269,13.458,2802.624,20.92,1.375
AcX,76561198849845491,S26,28,Master,0.643,0.714,1.929,2.5,410.107,21.68,414.997,49.382,478.429,1561.763,16.029,2755.478,16.636,0.857
JoshuaNaoki,76561199001680849,S26,27,Master,0.667,0.593,1.407,2.593,349.407,24.856,380.964,46.396,421.259,1540.648,12.606,3036.788,20.061,0.815
Kaisaroh,76561198399313598,S26,28,Master,0.929,0.321,1.679,2.714,371.714,32.993,368.414,47.74,486.714,1514.052,12.495,2956.379,19.217,1.607
Saucy Rexy,76561198159454627,S26,26,Master,0.731,0.423,1.577,2.5,349.308,39.65,344.781,51.017,569.692,1516.171,12.257,2961.207,19.711,0.692
Timmy_-_,76561198288255961,S26,5,Master,0.6,0.6,1.0,1.6,330.8,40.0,424.676,46.268,419.2,1585.274,17.423,2991.201,18.963,0.8
levants,76561198332594730,S26,7,Master,0.429,0.286,2.143,2.0,362.286,18.095,463.41,49.822,466.143,1618.189,21.539,2795.871,14.894,0.857
snugcore,76561198117376808,S26,29,Master,0.655,0.655,1.345,2.172,348.414,31.981,419.977,49.583,568.414,1512.582,15.007,2934.259,19.831,0.655
Chadley,76561198985167078,S26,28,Master,1.036,0.75,1.357,3.429,415.929,30.782,465.535,50.613,750.571,1619.869,19.958,3169.715,22.982,1.464
DJDancingDuckGIF,c1d7d998cd2d4501acd28fb8a7d6217d,S26,24,Master,1.0,0.458,1.75,2.792,421.583,35.624,373.239,49.659,472.5,1560.479,12.835,3060.807,20.017,0.792
Kenobs,76561198182636027,S26,16,Master,0.812,0.5,1.562,2.75,391.5,26.952,396.937,52.094,576.438,1572.692,17.494,2860.341,20.785,1.688
Meloaw,d7c35e83623b450d93f8db0ba2f90975,S26,28,Master,0.857,1.036,1.107,2.607,379.071,39.412,425.285,48.082,546.214,1518.396,15.926,2796.535,20.859,1.357
Melted,76561198055663448,S26,28,Master,0.607,0.786,1.393,2.393,349.0,23.636,359.746,47.951,559.107,1510.668,12.931,2790.854,21.838,1.429
Skep._.,e0d1baf5506344eea4c92986c074431b,S26,26,Master,0.769,0.538,1.423,3.077,376.885,25.128,446.141,45.485,623.654,1533.899,17.9,2761.485,22.09,0.885
slain.,76561198971311820,S26,26,Master,0.962,0.654,2.0,2.615,440.423,41.492,417.199,45.64,638.692,1589.833,18.176,2795.787,21.174,1.923
Darf01,76561198272414781,S26,32,Master,0.938,0.531,1.5,3.281,360.406,28.254,402.398,44.118,578.562,1519.458,14.071,2732.625,23.042,1.094
Ditto,76561198980232009,S26,17,Master,0.353,0.235,1.294,1.765,281.882,22.059,353.552,51.724,578.235,1478.235,13.341,2972.986,21.725,1.647
GrandPlat,76561198799710247,S26,27,Master,0.63,0.37,1.667,2.037,344.37,29.564,386.167,47.15,477.37,1490.535,13.685,2809.758,18.604,0.556
JarrettD.,76561198344497204,S26,18,Master,0.5,0.5,1.333,2.556,332.444,19.304,485.098,49.045,674.778,1623.611,18.813,3023.792,21.336,2.333
Minty Moonifer,76561198839422767,S26,32,Master,0.594,0.75,0.969,2.625,342.156,19.177,377.171,46.007,571.25,1506.547,11.549,2921.688,22.673,1.156
RobinPW,76561198880559919,S26,23,Master,0.522,0.478,1.783,2.261,359.522,22.849,442.066,50.46,653.13,1551.899,16.757,2992.163,19.256,1.609
wicked,76561198819914048,S26,29,Master,0.759,0.483,1.586,3.034,386.276,26.463,434.874,52.507,498.379,1606.287,16.944,3070.767,17.808,1.448
Calster,76561198059743159,S26,28,Master,0.857,0.571,1.643,2.714,405.286,34.928,389.534,48.177,490.75,1546.673,14.592,2861.245,19.01,1.179
Fl1ppah,76561199062391951,S26,21,Master,0.81,0.857,1.333,3.143,386.429,27.708,406.948,49.414,590.048,1539.561,14.892,2569.79,24.174,1.81
Kri0s,76561198061553414,S26,22,Master,0.636,0.5,1.682,1.727,344.045,34.848,362.049,48.09,433.273,1461.543,13.369,3025.802,17.608,0.818
Luminati,76561198048392492,S26,10,Master,0.9,1.1,1.6,2.8,391.0,33.043,434.562,44.449,402.9,1592.894,18.657,3067.838,18.588,2.0
aWannaBe-_-NERD,76561199055708065,S26,24,Master,0.542,0.417,0.875,2.042,275.875,27.311,503.8,47.456,788.5,1675.681,22.583,2961.747,21.261,1.958
doggo,76561198797783521,S26,27,Master,0.556,0.593,1.0,2.519,315.556,26.426,304.153,52.498,454.407,1335.084,8.685,2910.664,20.694,0.778
taLz.,76561198356863590,S26,31,Master,0.806,0.355,2.065,2.419,378.548,31.454,411.178,47.842,628.548,1522.162,14.0,2881.11,22.904,1.032
wall2wall3,76561198862775763,S26,14,Master,0.643,0.429,1.071,2.429,297.143,22.755,410.69,47.691,489.643,1559.421,14.836,3116.13,18.738,1.429
DQ.,76561198348697234,S26,20,Master,1.35,0.8,1.1,3.0,441.15,45.556,415.177,49.498,589.75,1550.188,17.508,2911.275,21.696,1.3
Jimbo,76561198057477823,S26,32,Master,0.781,0.594,1.5,2.688,370.562,30.778,443.568,44.147,587.844,1601.145,18.026,2840.447,20.482,1.156
Lup,76561198274042320,S26,22,Master,0.682,0.318,1.455,2.227,328.545,27.426,395.197,50.719,485.273,1503.202,13.332,2956.865,19.733,1.045
Navik,76561198068892103,S26,32,Master,0.656,0.656,1.125,2.188,315.469,28.598,460.964,47.911,817.219,1608.168,16.696,2901.111,23.957,1.562
SSpekky,76561198265037946,S26,31,Master,0.516,0.516,1.71,2.387,368.871,21.684,369.172,48.956,436.742,1522.778,11.27,3109.654,18.969,0.774
Taiyo,76561198165578327,S26,20,Master,0.7,0.75,1.5,2.35,374.0,31.238,383.486,52.071,519.8,1543.883,14.521,3085.125,20.933,1.4
Foam,76561198822947400,S26,32,Master,1.0,0.312,1.469,3.656,391.219,24.047,415.87,45.444,525.719,1587.264,17.472,2887.485,21.949,0.938
ImSouperGreat,63cd259f7edb442188c3059a2da869f4,S26,28,Master,0.679,0.5,1.179,2.536,324.143,27.844,408.498,52.265,501.071,1577.136,17.11,3108.811,22.687,0.857
Slvr.,76561198847006508,S26,28,Master,0.607,0.536,1.714,2.536,363.071,25.966,423.938,47.948,601.821,1593.305,18.494,3002.804,21.201,1.75
Timbo,76561198049631617,S26,4,Master,0.75,0.0,0.25,1.0,207.5,75.0,373.29,51.858,579.75,1517.322,11.625,3139.023,19.477,1.5
Zippy,76561198981905189,S26,32,Master,0.875,0.562,1.719,3.75,417.625,23.578,397.93,50.314,655.625,1576.686,15.937,3042.529,23.923,2.25
nelz,76561198175632990,S26,32,Master,0.906,0.719,1.062,3.344,348.812,27.439,371.09,54.725,536.906,1552.021,16.459,2945.056,24.228,0.625
BallChasinq,9b524a0bec024657b43369cf3fda03b1,S26,28,Master,0.429,0.714,2.036,2.714,393.107,17.214,416.353,43.278,443.429,1516.944,14.457,2683.702,19.201,0.75
Fused Gavin,939800b9d0144114a570e055d1168bc8,S26,20,Master,0.45,0.45,2.15,2.55,381.1,17.167,424.965,46.037,564.15,1599.042,20.592,2970.463,18.753,0.85
Mezmer,76561198255589716,S26,26,Master,0.462,0.538,1.538,2.308,322.231,18.814,354.475,45.414,420.077,1474.273,9.027,2873.516,20.483,0.769
R0cket,76561198245641736,S26,24,Master,1.0,0.583,1.875,3.042,432.292,32.607,435.853,47.135,659.333,1599.847,18.251,2892.991,23.71,1.375
Shune.,2bc5d5ff3fbb452a9d1412025a976ce1,S26,26,Master,0.5,0.385,1.308,2.115,327.115,21.37,446.757,47.849,548.462,1510.311,14.832,2634.988,21.083,0.577
TheLegendaryChance,76561198354390603,S26,32,Master,0.812,0.406,1.531,2.719,364.094,29.318,473.367,45.776,780.906,1561.249,19.248,2800.592,23.09,1.438
