Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
Cryptt.,4307c2ca88b44968abc67c32cc918a5a,S23,54,Master,0.704,0.63,1.574,2.759,380.648,24.977,361.868,55.422,491.574,1546.973,14.472,3053.744,21.197,0.593
FIN0oo,dc35359deb5340908e2bd0bdd17ae5b3,S23,49,Master,0.673,0.673,1.714,2.653,399.816,24.052,499.381,49.552,757.939,1690.967,27.795,2956.432,21.912,1.245
Lil Panda,76561198869882333,S23,51,Master,0.902,0.451,1.549,2.627,366.529,33.268,359.11,46.849,460.588,1502.838,13.965,2928.463,20.713,1.451
Rzemb1e,76561199030449265,S23,48,Master,0.875,0.542,1.229,2.521,351.417,35.395,405.186,46.702,568.917,1516.227,12.969,2867.963,22.981,1.354
Static,76561199064381032,S23,52,Master,0.885,0.596,0.885,2.962,341.423,31.053,432.487,47.793,766.558,1604.036,19.332,2700.115,25.877,1.673
dwsn.,76561198417800150,S23,26,Master,0.808,0.731,1.615,2.731,379.269,27.47,407.747,46.469,479.462,1583.195,18.89,2896.81,20.355,0.808
Goobz,76561198873708502,S23,41,Master,0.902,0.634,1.171,3.024,371.659,29.264,418.799,47.744,392.951,1599.738,16.441,3037.484,18.412,0.659
Joxtrot,a1531ddd821f48d192aa3e4ae59d2a9b,S23,58,Master,0.966,0.672,1.448,2.724,392.621,35.716,360.829,46.826,444.879,1504.199,11.569,2826.85,21.132,1.0
Plasma,76561198421359136,S23,46,Master,1.239,0.826,1.435,3.326,438.696,39.285,414.397,46.179,587.804,1589.87,16.475,2888.99,21.933,0.804
R0cket,76561198245641736,S23,32,Master,0.656,0.5,1.406,2.25,349.562,28.625,399.329,46.386,607.875,1568.977,15.499,2936.132,21.552,1.062
dazeski,76561198319667344,S23,45,Master,0.778,0.511,1.156,2.733,322.933,27.936,394.254,41.868,547.8,1493.161,15.265,2903.946,21.706,1.044
slain.,76561198971311820,S23,53,Master,0.792,0.679,1.396,2.189,366.736,34.293,417.293,48.069,560.887,1583.895,17.899,2692.831,21.487,1.34
nelz,76561198175632990,S23,11,Master,0.545,0.182,1.182,1.455,261.182,48.182,331.946,51.951,447.182,1496.431,15.209,2846.713,17.641,1.364
AcX,76561198849845491,S23,59,Master,0.763,0.644,1.559,2.475,372.814,31.401,367.288,46.578,509.898,1498.403,12.99,2746.721,19.551,0.932
Diamond ^.^,76561198349925192,S23,57,Master,0.719,0.544,1.456,2.544,355.772,29.694,407.239,47.196,607.789,1536.666,15.832,2728.33,23.04,1.333
Frijole   ,76561198306454921,S23,26,Master,0.731,0.769,1.346,2.538,353.077,29.196,415.059,53.541,589.885,1610.616,18.11,2978.746,22.174,1.115
July,76561198874531380,S23,34,Master,0.765,0.588,1.324,3.0,363.971,25.392,435.824,51.635,531.235,1658.388,22.448,2988.107,20.155,1.176
LMNS,37589e469be84a848ca150fbe5b4866d,S23,59,Master,1.136,0.576,1.407,3.034,426.356,36.579,421.858,47.93,634.542,1584.243,16.689,2765.923,22.502,1.034
SgtPickle,76561198194266774,S23,20,Master,0.75,0.25,1.6,2.2,312.3,48.902,389.427,46.715,579.6,1530.312,12.836,3242.895,21.713,0.75
Super,76561198359047226,S23,55,Master,0.709,0.527,1.582,2.291,347.091,29.394,377.679,47.743,555.145,1509.737,13.08,3024.076,19.48,1.055
Cart,76561198198633614,S23,35,Master,0.429,0.286,1.229,2.057,269.4,20.442,346.691,48.423,510.514,1478.779,10.921,3219.027,21.279,0.686
Ghxst,76561198968188043,S23,59,Master,0.644,0.559,1.797,2.458,372.898,26.829,373.336,49.835,405.458,1556.535,14.228,2677.264,19.601,0.593
Kagura.,76561199037922964,S23,56,Master,0.732,0.518,1.286,2.589,333.821,27.207,402.311,47.939,628.196,1511.274,14.561,2777.999,21.797,1.393
Oibu,76561198860456824,S23,56,Master,0.857,0.607,2.268,2.554,443.696,33.432,442.638,49.034,509.143,1613.141,20.231,2838.875,19.26,0.893
Tman,76561198310175834,S23,60,Master,0.95,0.833,1.4,3.483,419.833,26.841,398.096,45.529,571.383,1526.788,13.453,2675.527,23.06,0.783
bex,76561198223235876,S23,27,Master,0.704,0.37,1.444,3.148,354.889,21.826,410.116,49.224,608.889,1547.588,13.481,2791.522,20.371,0.926
prisma,76561198385655030,S23,43,Master,0.744,0.721,1.209,2.512,367.814,29.33,361.362,48.181,531.581,1517.524,15.224,2969.451,20.381,1.512
Knuckle,76561198352125178,S23,20,Master,1.1,1.1,1.6,3.55,448.15,32.326,426.753,52.904,613.4,1575.063,16.177,2880.693,20.716,1.0
Sw.ish,f36d44391180435fa2860e6bf9c6c38b,S23,52,Master,0.962,0.519,1.558,3.154,413.827,33.421,367.489,46.222,496.481,1581.494,16.351,2789.189,21.567,0.75
Averded,76561198254998243,S23,44,Master,0.818,0.523,1.341,3.364,371.068,22.06,410.93,48.345,618.795,1596.02,15.381,2872.374,21.319,1.205
hawktuahjohnpork,76561198328307440,S23,42,Master,0.429,0.429,1.31,1.857,296.881,23.597,444.527,45.178,634.357,1605.33,18.015,2828.723,20.606,0.976
takeeover,16d5e151acd548fe8a5464a6ba9162d6,S23,41,Master,0.537,0.707,2.073,2.341,385.073,21.895,401.384,51.122,596.39,1554.556,17.963,2903.736,21.667,1.78
yillow,76561199068245802,S23,45,Master,0.578,0.533,1.4,2.378,341.356,22.152,401.977,48.427,613.356,1512.662,16.399,2740.566,21.624,1.267
DQ.,76561198348697234,S23,27,Master,0.481,0.37,1.704,2.333,318.444,21.999,391.069,47.601,512.185,1518.318,14.676,3020.139,19.855,1.519
Infinite,76561198426108307,S23,57,Master,0.649,0.632,1.491,2.772,347.667,22.786,394.778,46.324,581.123,1552.61,14.764,2892.94,20.356,1.105
Snipes,76561199088942284,S23,52,Master,0.712,0.5,1.577,2.135,353.442,33.355,410.355,44.564,541.923,1594.921,15.451,2740.079,19.988,1.404
afterburner3375,0ba01f83480b49ff9bbf1e967c58ab68,S23,56,Master,0.821,0.768,1.554,2.786,394.482,30.933,449.48,50.653,696.161,1592.233,20.263,2919.674,21.709,1.714
christophr,76561198386757598,S23,48,Master,0.542,0.438,1.479,2.083,317.396,28.33,418.707,49.646,528.479,1569.479,17.258,3003.615,17.971,1.167
nave,76561198353213040,S23,52,Master,1.077,0.75,1.404,3.269,415.385,32.861,438.549,45.58,596.923,1536.631,14.677,2790.223,22.646,0.692
Hirsch,76561198768061133,S23,36,Master,0.694,0.611,1.0,2.778,318.528,23.92,410.409,46.834,688.944,1535.018,14.635,2862.394,23.412,1.75
Kri0s,76561198061553414,S23,43,Master,0.465,0.535,1.535,2.14,314.698,22.167,375.782,48.947,522.419,1524.542,15.795,3036.625,20.33,0.86
MaggieZerua,e0a417d83a5f40d7bc535ab34b41b76a,S23,49,Master,0.816,0.571,1.918,3.041,418.388,26.147,430.448,51.065,591.735,1536.853,14.619,2910.538,22.487,0.939
peach,76561198406520145,S23,30,Master,0.733,0.6,1.467,2.633,379.533,28.172,386.273,46.546,480.367,1574.395,14.029,2867.022,20.69,0.833
duffy,76561198153334077,S23,12,Master,1.167,0.75,1.25,2.667,412.5,42.381,459.535,47.767,627.5,1575.345,15.284,3041.577,23.183,1.333
solar722,76561198177734921,S23,51,Master,0.941,0.451,1.216,3.118,369.098,29.092,404.027,47.395,495.745,1556.872,13.522,2760.357,21.906,0.588
Doodle!,76561199030692971,S23,19,Master,0.684,0.895,1.263,1.684,325.947,28.878,302.198,52.171,435.632,1484.362,11.276,3135.492,21.024,1.105
Packers,76561198427074389,S23,45,Master,0.8,0.6,1.644,2.422,386.6,32.841,350.689,49.142,457.511,1491.915,13.048,2742.382,20.072,1.022
Rydexian,76561199076572120,S23,4,Master,0.75,0.5,0.75,3.75,340.25,19.643,357.658,51.301,609.0,1527.207,15.52,3078.571,20.66,0.0
Argnor,76561198069043791,S23,41,Master,0.854,0.659,1.098,3.195,343.244,27.368,483.607,44.323,694.049,1728.628,24.963,3206.669,22.311,1.854
Swax,76561198106155823,S23,23,Master,0.739,0.783,1.174,2.304,335.565,30.252,381.696,48.005,642.217,1534.256,12.251,2977.174,21.395,0.957
Goose ,f59ba2e6bbfa4a29a166d81e74f75933,S23,6,Master,1.0,0.667,0.833,2.5,319.333,40.0,373.183,48.67,592.667,1569.95,13.848,3024.455,21.582,1.667
Galaxiezz.,e31ca827322d40afaf6b2a8aebb391a8,S23,28,Master,0.679,0.464,0.929,2.179,299.036,32.821,403.632,45.393,602.429,1563.166,16.837,2870.436,22.174,1.071
spuf.,76561199072905923,S23,40,Master,0.55,0.55,1.3,2.6,340.825,21.367,433.586,50.91,698.55,1583.62,18.194,2662.107,24.116,1.175
feed.,76561198021281717,S23,4,Master,1.5,0.75,1.0,3.0,464.25,50.0,431.915,45.378,481.5,1596.029,16.103,2948.215,19.786,0.75
Saucey,76561198411702857,S23,51,Master,0.667,0.549,1.176,2.725,343.863,25.267,412.064,52.62,608.451,1569.471,17.054,2845.027,21.35,1.039
Rob Belichick,ce0ee457542b4b98a4428d09cde70975,S23,32,Master,0.562,0.812,1.281,2.719,336.031,21.831,424.798,48.951,715.781,1595.091,17.962,2904.954,24.567,1.656
Unexpected,76561198272394663,S23,37,Master,0.459,0.595,1.297,2.27,319.676,18.577,379.848,46.641,496.514,1566.926,16.588,3054.447,19.367,1.324
sean k.,76561198365989057,S23,48,Master,1.125,0.75,1.396,3.021,424.188,38.801,395.4,46.361,586.25,1526.407,13.516,2850.776,20.605,1.062
mojomo,76561198284684264,S23,37,Master,0.676,0.432,1.568,2.243,335.514,28.437,368.226,51.053,408.973,1471.134,10.239,3002.557,17.605,0.459
Reported.,76561198983209543,S23,60,Elite,0.9,0.667,1.283,2.4,370.717,38.986,364.912,50.967,426.917,1491.467,13.279,2889.516,18.999,1.05
Just Kraze,d7b124140f3540d990745ef705fc6cf1,S23,8,Master,1.25,0.625,1.0,3.25,413.75,38.75,395.759,49.127,527.75,1511.4,11.884,3025.145,16.236,2.125
PayloSoul,76561198428623784,S23,1,Master,1.0,0.0,0.0,1.0,204.0,100.0,407.0,47.19,402.0,1554.0,13.302,3106.0,24.032,0.0
Lup,76561198274042320,S23,14,Master,0.643,0.429,1.286,2.643,299.571,22.449,367.567,49.265,524.286,1502.798,12.488,2992.872,21.476,0.429
Kaorix   ,76561198844468423,S23,29,Master,0.828,0.517,1.0,3.034,328.655,26.003,446.547,49.775,702.138,1660.317,22.645,3197.69,23.671,1.931
Reckless,76561198799219839,S23,28,Master,0.643,0.429,1.179,1.75,307.0,37.171,371.766,47.717,547.25,1536.185,15.516,2947.113,21.968,0.893
kooooobee,7b27eabb2da7407b82a0c90756370faa,S23,22,Master,0.5,0.273,2.318,2.409,398.864,21.25,419.754,44.977,442.045,1525.947,12.668,2600.627,19.628,0.455
liam,76561198319472524,S23,23,Master,0.609,0.565,1.478,2.783,354.739,26.324,418.63,49.753,622.696,1605.565,17.523,3038.935,21.374,0.913
magician snack time,76561198025659154,S23,31,Elite,1.0,0.484,1.613,2.645,395.581,35.305,377.82,46.156,480.871,1535.418,12.534,2831.26,21.196,0.839
LMNS,76561199218967127,S23,4,Master,0.75,0.5,0.75,5.25,314.25,14.286,419.596,49.529,613.75,1637.524,18.994,2794.196,28.108,1.5
spooky,76561198872609558,S23,11,Master,0.909,0.636,1.818,3.818,447.0,23.31,439.866,50.746,487.636,1549.01,17.884,2868.852,19.684,0.182
WinterMajorChamp,ca360ce514ad43279e1543ea5a383edf,S23,9,Master,0.556,0.444,1.111,3.0,291.556,17.705,439.848,49.212,622.667,1641.662,20.296,2975.328,20.475,1.333
Foam,76561198822947400,S23,8,Master,0.75,0.5,1.125,2.625,339.625,28.636,407.453,41.513,603.375,1566.364,16.77,2896.833,23.768,0.75
Corrupt,76561198336380626,S23,48,Premier,0.562,0.542,1.5,2.646,329.062,22.793,412.544,48.175,588.229,1524.772,17.445,3030.266,20.135,0.854
FusionBleach,76561198809508688,S23,56,Premier,0.893,0.929,1.643,2.911,444.464,30.543,420.214,51.3,662.571,1627.398,20.97,2793.063,22.431,1.214
Rule,76561198088056507,S23,47,Premier,0.596,0.617,1.489,2.596,336.681,21.305,406.702,50.951,533.915,1537.326,13.344,3007.64,19.7,1.128
Arkcus,76561198880064610,S23,51,Premier,0.843,0.588,1.529,3.078,421.059,25.704,403.45,49.414,541.804,1575.585,16.266,2758.262,21.206,0.647
Vega,76561198193671942,S23,8,Premier,0.75,0.25,1.375,2.625,326.5,30.288,471.956,49.778,599.75,1639.351,22.107,2832.761,22.695,0.75
