Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
AZoroARK,e976e9c6af544dbf922d1e25f25ba762,S21,42,Contender,0.857,0.524,1.024,2.143,315.429,37.823,361.973,47.386,412.595,1457.803,10.075,2914.98,21.956,0.738
Enterprise15,ca45698144694bfbb3e396411a29e486,S21,28,Contender,0.714,0.893,1.143,1.964,354.179,44.292,388.342,49.94,522.679,1538.118,13.524,2691.119,21.536,1.5
Folterung,e31d8c16b3044319907bd9b5e8baaba3,S21,16,Contender,0.438,0.563,1.25,1.937,295.5,19.94,295.282,55.057,304.688,1458.627,8.49,3105.867,15.858,0.438
HU-ALTO,2d77b1372fa344238c0c2c341fb1a5d3,S21,37,Contender,1.135,0.514,0.919,2.676,327.973,41.908,292.199,47.239,500.892,1380.777,6.324,2500.791,25.489,0.405
YERP_YERP02,2ac8bba34ad441eb8297b6584c354c5b,S21,30,Contender,0.5,0.5,0.933,1.6,272.0,26.111,319.555,44.494,361.467,1459.899,8.142,2969.388,19.187,0.733
YourBadKittyCat,18d9bd6fc90a442096a37cd086e0c596,S21,45,Contender,0.622,0.4,1.133,1.689,291.356,36.698,319.82,57.188,425.422,1486.272,8.733,2896.31,18.347,0.733
Yung_itsu,f211339b88a34c42887bbce4605fcbf0,S21,34,Contender,1.029,0.647,0.5,2.706,319.0,42.759,318.095,52.32,419.529,1457.19,8.391,2957.115,20.797,0.706
CoachJimmy_TECT,f385841e912d4747b081632631dd6fe8,S21,42,Contender,0.738,0.262,1.643,1.929,337.405,36.07,345.993,43.189,407.286,1472.099,8.804,3061.53,19.04,0.833
Colossus4203316,Colossus4203316,S21,23,Contender,0.304,0.435,1.174,1.435,238.435,23.333,336.18,47.661,488.913,1463.961,10.594,3295.608,19.4,0.391
Evil twin,76561197976436270,S21,46,Contender,0.652,0.565,0.891,1.804,274.391,39.302,301.422,51.855,393.109,1375.326,6.082,3203.52,18.335,0.717
HyPe56,HyPe56,S21,43,Contender,0.93,0.558,0.953,2.814,338.581,31.681,324.446,55.75,474.0,1406.445,8.612,3311.88,21.313,0.884
Piky Life88,Piky Life88,S21,39,Contender,0.846,0.385,0.872,2.615,294.231,30.041,274.712,50.849,454.154,1418.969,9.504,3548.932,20.991,1.564
rinny_b0y,c03ee098fd954e18b3d7592237bb4b14,S21,40,Contender,1.05,0.65,0.8,3.3,358.575,30.134,291.068,56.723,387.775,1445.43,8.778,3109.851,20.771,0.5
Angry-Hermit,76561197990991184,S21,36,Contender,0.556,0.417,0.833,2.028,267.722,26.99,355.684,48.319,483.778,1500.191,11.73,3042.654,20.337,0.889
B0A._.,7906ff5b296c4162bd4c05052c3b63fb,S21,31,Contender,0.613,0.452,1.065,1.484,268.71,40.75,371.461,53.474,405.742,1443.376,10.413,3121.393,18.964,0.71
B1itzzzzzzz,a4f7f3753ba748ba81634008e9afffc7,S21,39,Contender,0.538,0.436,1.0,1.795,275.718,27.317,418.729,49.045,592.154,1499.252,10.248,2860.347,20.599,0.718
D1REW00F,76561199005070433,S21,36,Contender,0.222,0.333,1.111,1.083,221.778,24.537,328.131,39.135,335.5,1490.163,10.552,3324.697,16.16,1.0
LxlKermit,76561198134679566,S21,32,Contender,0.844,0.344,1.188,2.094,333.531,43.295,329.338,44.982,362.906,1429.403,7.389,2721.571,19.362,0.469
Marc_Byy_8,Marc_Byy_8,S21,44,Contender,1.409,0.636,0.864,3.273,417.273,42.283,354.466,50.367,559.159,1478.672,8.335,2909.097,22.554,1.182
OnlySlim2198,OnlySlim2198,S21,19,Contender,1.0,0.316,1.053,1.842,289.895,48.564,361.319,45.651,359.579,1411.578,8.664,3194.741,17.478,0.737
XxExGENxX,UndrSizeFrog,S21,33,Contender,0.758,0.485,1.091,2.182,313.212,33.674,378.418,53.508,378.364,1488.912,11.621,2985.16,19.733,0.515
Clorgbane,Clorgbane,S21,32,Contender,0.531,0.438,1.406,1.781,300.687,32.027,259.876,46.313,315.625,1247.548,5.969,2833.801,18.478,0.25
DEADLYFEET1001,76561199031913141,S21,37,Contender,0.892,0.351,1.189,2.162,351.514,41.402,403.31,50.908,477.459,1509.517,14.483,2958.116,20.087,1.486
GFC-RAIDER,764e486ce2e54bd9b806cffc06f13df1,S21,41,Contender,0.878,0.634,0.927,2.39,339.951,36.543,369.538,43.808,575.951,1456.088,9.756,2833.093,24.851,1.293
Gibbyy-,48bbddcc6df24d788a73ec79d3716833,S21,2,Contender,0.0,0.0,1.5,1.0,166.0,0.0,299.762,51.999,373.5,1409.2,5.196,2668.431,19.75,0.0
