Player,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
PitterPaddy,S19,43,9Amateur,0.419,0.209,0.698,1.512,196.837,30.323,201.951,49.472,261.186,1346.892,6.376,3117.324,17.849,0.419
Savij_Oni,S19,15,9Amateur,0.6,0.267,1.6,1.6,306.867,37.185,322.856,46.716,281.4,1338.161,7.205,2893.17,17.943,0.6
Shootzy,S19,44,9Amateur,0.568,0.523,0.682,1.773,237.205,33.586,282.447,47.371,343.205,1419.214,8.058,3373.724,18.693,0.795
SnowwGG,S19,8,9Amateur,1.375,0.375,0.5,2.75,356.375,52.679,297.667,50.238,330.625,1443.771,8.755,2853.829,20.992,0.625
StoneHavenGames,S19,53,9Amateur,0.302,0.208,1.075,1.057,220.736,29.209,311.897,47.498,340.679,1250.462,6.597,2998.054,16.824,0.453
YERP_YERP02,S19,47,9Amateur,0.553,0.255,0.957,1.702,270.043,32.494,280.862,47.127,276.66,1390.252,6.693,2952.683,18.229,0.553
darkangels_152,S19,19,9Amateur,0.632,0.263,0.842,1.789,261.316,41.565,279.287,53.573,412.368,1396.068,7.293,2847.059,19.247,0.421
vBoostedv,S19,28,9Amateur,0.571,0.464,0.964,2.0,278.107,27.829,238.076,58.227,359.25,1340.472,6.298,3290.991,18.693,0.536
CascaReborn,S19,4,9Amateur,1.0,0.25,1.5,2.75,337.5,36.364,262.752,51.269,734.25,1383.405,5.82,3517.93,21.976,0.75
KittyMeowMeow360,S19,39,9Amateur,0.846,0.667,1.154,2.077,336.154,44.286,362.744,51.126,355.128,1441.222,9.284,3142.094,17.185,0.821
Piky Life88,S19,52,9Amateur,0.962,0.75,1.077,2.769,379.577,34.547,288.986,51.79,519.462,1417.509,9.838,3287.425,20.604,1.577
Rich-Rollin6060,S19,42,9Amateur,1.048,0.381,0.738,2.405,307.548,50.144,344.323,34.893,322.238,1392.668,7.695,3035.742,20.971,0.429
YourBadKittyCat,S19,38,9Amateur,0.579,0.447,0.579,1.895,229.921,31.606,291.045,56.293,377.842,1389.043,7.559,3032.508,20.018,0.289
rinny_b0y,S19,43,9Amateur,1.326,0.535,0.93,3.07,402.884,41.526,318.542,56.718,297.535,1445.466,9.969,2953.497,19.745,0.581
Eligaming38,S19,34,9Amateur,0.618,0.294,0.5,1.971,251.5,30.023,266.821,57.06,300.059,1372.213,6.893,3336.643,18.51,0.588
Kamkan999,S19,4,9Amateur,0.0,0.25,1.25,0.5,139.5,0.0,239.685,39.599,220.75,1442.334,7.868,2757.901,15.663,0.75
Kenjicat17,S19,46,9Amateur,0.87,0.391,1.0,2.196,325.609,32.715,255.977,48.115,270.022,1447.795,8.792,3196.427,18.304,0.37
Pad1wanX,S19,47,9Amateur,0.745,0.511,0.915,1.809,300.979,38.983,268.069,53.502,411.404,1344.836,6.087,3012.211,21.117,0.638
Yung_itsu,S19,51,9Amateur,1.098,0.392,0.961,3.137,356.039,32.494,269.337,53.624,321.725,1384.619,6.453,2629.836,19.296,0.549
