Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
saucey esports snack,76561198025659154,S25,8,Master,0.625,0.25,0.875,3.125,296.125,20.0,383.388,45.937,599.25,1552.67,12.108,2852.545,24.141,1.125
DJ,76561198104659510,S25,8,Master,1.375,1.125,1.0,3.75,451.625,37.5,470.115,49.711,669.625,1668.031,23.664,3000.957,20.668,1.5
Melted,76561198055663448,S25,3,Master,0.667,0.667,2.0,2.333,356.333,28.571,348.898,48.516,403.0,1565.113,16.414,2886.761,21.318,1.333
Mezmer,76561198255589716,S25,3,Master,0.333,1.0,2.0,3.333,388.333,10.0,345.774,45.433,400.333,1504.773,8.695,3112.908,16.313,0.333
Rzemb1e,e7668dbc58314278be856b4d6e8c2825,S25,3,Master,0.667,0.333,0.667,1.667,339.667,40.0,422.679,47.551,484.667,1604.506,19.149,2758.106,22.422,2.667
TheLegendaryChance,76561198354390603,S25,9,Master,1.333,0.778,1.111,1.889,394.667,66.27,448.877,43.319,662.667,1556.864,18.861,2927.993,22.065,1.889
Timbo,76561198049631617,S25,3,Master,1.333,0.0,1.0,3.0,283.0,44.444,371.651,44.698,644.0,1536.203,9.892,2870.096,24.139,1.0
Trickter02,76561198354602962,S25,2,Master,1.0,0.5,0.0,2.5,279.0,40.0,428.932,49.966,537.0,1566.565,16.603,3196.586,17.756,1.5
Viiper,76561198345192690,S25,9,Master,0.889,0.333,1.222,2.444,366.222,30.0,382.794,50.523,333.778,1512.509,9.956,2904.331,19.389,0.556
Xero,76561198113488676,S25,2,Master,1.0,1.0,2.0,3.0,390.5,33.333,352.802,51.446,560.5,1396.563,9.342,2909.113,19.607,0.5
Chazie.,2730f550de8f488eb4801c0348ce0091,S25,4,Master,1.25,0.25,2.0,3.0,434.25,41.667,456.922,48.8,539.5,1589.374,16.069,2794.387,20.385,1.0
DJDancingDuckGIF,c1d7d998cd2d4501acd28fb8a7d6217d,S25,11,Master,0.545,0.909,1.727,1.818,392.091,30.303,404.063,51.048,604.727,1603.913,16.702,3118.865,22.651,1.091
Ditto,76561198980232009,S25,6,Master,0.333,0.5,1.333,2.5,264.833,13.889,365.279,52.524,651.0,1470.182,12.267,2893.19,25.334,1.5
IMOLDGREG67,a3b714578c6e4b2aaabb70f1804dcecb,S25,10,Master,0.7,0.2,1.0,2.6,276.0,31.154,391.784,48.954,510.1,1528.986,16.495,3107.81,22.176,0.5
KING.,76561198828094404,S25,9,Master,1.222,0.444,1.444,3.222,389.0,37.302,409.351,48.654,381.778,1513.29,11.899,2876.984,21.79,0.667
Python,76561198799261985,S25,11,Master,0.273,0.364,1.455,1.455,288.0,23.864,333.158,47.756,448.727,1507.781,12.742,3011.77,21.722,0.273
mirage,76561198306945148,S25,11,Master,0.636,0.364,1.091,2.091,298.455,30.303,386.237,44.323,460.182,1534.425,13.823,2805.576,21.496,1.091
Frijole   ,76561198306454921,S25,8,Master,2.25,0.875,1.375,3.75,549.5,67.857,409.44,57.294,545.875,1579.065,18.824,3002.509,20.787,0.125
Gruens.,73457c0577f74d979df7d9f489169a8c,S25,4,Master,0.5,1.0,0.5,1.25,237.5,33.333,363.806,44.248,319.25,1555.038,15.987,2871.842,16.375,0.5
ImSouperGreat,63cd259f7edb442188c3059a2da869f4,S25,5,Master,2.0,0.8,1.4,3.2,527.8,64.0,412.018,50.338,581.6,1548.177,15.873,2976.086,23.423,1.2
J.Boosted,998e24b5bc83407b8ee2ccdf64cbcffd,S25,5,Master,0.4,0.8,1.4,2.8,344.6,14.667,458.183,45.417,750.6,1632.824,17.984,2775.663,24.791,0.6
Luminati7,76561198048392492,S25,6,Master,0.5,0.833,1.333,1.833,311.0,28.333,418.438,45.108,442.833,1590.63,18.624,3097.51,19.468,1.833
Sangani,76561198407301887,S25,2,Master,0.5,0.0,0.5,3.0,266.0,16.667,390.531,53.268,518.5,1623.825,19.215,3063.859,21.243,0.0
Saucy Rexy,76561198159454627,S25,7,Master,1.143,1.286,0.429,2.429,369.429,48.571,375.823,47.437,577.143,1527.251,10.804,2942.157,20.482,0.0
Spoon,76561198114180172,S25,8,Master,1.125,0.5,1.25,2.375,429.125,47.619,427.056,51.351,507.875,1599.809,12.789,2721.953,20.273,0.25
n e l z,76561198175632990,S25,8,Master,1.125,0.75,0.875,2.75,387.75,39.744,373.614,51.257,644.375,1566.691,16.458,2901.203,23.935,1.0
C01E01,726fb1e88bf64c818968462f4a9a4af1,S25,5,Master,0.8,0.4,1.0,2.2,295.6,50.714,404.228,48.611,684.2,1538.889,14.356,3056.699,23.705,0.6
ChiRho_-,ChiRho_-,S25,11,Master,0.909,0.727,1.909,2.364,429.0,32.727,357.54,54.28,335.545,1468.98,13.659,2941.388,17.16,1.636
RSC Raven,d288da2800ae40a7898f95c9cf4755af,S25,11,Master,0.909,0.636,1.182,3.364,354.727,28.438,341.037,50.425,544.273,1519.582,11.911,2902.1,26.566,0.818
Reported.,76561198983209543,S25,6,Master,0.833,0.667,1.667,2.167,375.833,39.286,403.516,51.096,498.5,1512.901,15.06,2760.426,21.651,1.5
SSpekky,76561198265037946,S25,5,Master,0.6,1.0,2.2,2.8,422.0,15.0,358.929,50.411,513.2,1551.492,12.068,2940.953,21.418,0.4
instnt,76561198319101032,S25,6,Master,0.333,0.167,1.5,1.333,253.167,33.333,338.706,52.383,406.167,1427.037,10.959,3048.926,19.337,0.5
kolm,76561198328307440,S25,7,Master,0.714,0.857,0.571,2.857,303.571,25.432,419.693,48.416,594.429,1587.952,16.251,2817.538,21.43,1.0
lovegreyhounds,e8c071dda7814575baacbe594a28342e,S25,3,Master,1.0,0.0,1.333,2.0,364.333,50.0,345.493,55.748,363.333,1460.226,12.798,2889.697,18.88,0.667
BallChasinq,9b524a0bec024657b43369cf3fda03b1,S25,6,Master,0.667,0.333,1.333,2.667,334.333,25.556,417.962,44.509,479.667,1527.94,14.758,2714.007,17.54,1.333
GrandPlat,76561198799710247,S25,4,Master,0.5,1.0,0.5,1.75,304.25,28.571,351.294,49.54,448.75,1433.288,10.754,2995.113,19.808,0.5
Snipes,76561199088942284,S25,4,Master,1.5,0.25,2.25,3.25,466.0,46.154,448.308,48.694,580.5,1609.364,13.475,2645.16,21.051,1.0
Storm G,8504ad413d8845279b353536b127eaa1,S25,4,Master,1.0,0.75,0.25,3.0,294.0,33.333,396.042,50.324,566.0,1561.651,15.563,3103.669,20.147,1.25
Timmy_-_,76561198288255961,S25,4,Master,0.5,1.5,0.5,3.5,347.5,14.286,396.331,44.544,321.5,1553.295,13.378,2946.677,15.177,0.0
flash.,76561198989227513,S25,7,Master,0.143,0.857,2.0,2.0,338.571,7.143,403.325,48.806,644.0,1637.767,22.014,2885.219,22.841,1.0
BaronTac0,76561199013575758,S25,3,Master,0.333,0.333,1.0,1.667,252.333,20.0,382.459,55.024,571.667,1541.648,10.025,3090.185,21.172,1.667
Kenobs,76561198182636027,S25,5,Master,0.6,0.2,1.2,2.6,312.4,25.333,382.554,48.991,465.6,1570.558,19.083,2822.195,20.404,1.0
Mikee GFuelcom,76561198011893576,S25,5,Master,0.4,0.6,1.2,1.2,286.4,16.0,356.367,45.176,443.4,1435.81,9.464,3437.694,17.824,0.2
Rapidz (Goofy and Silly),76561198997833440,S25,5,Master,0.2,0.0,1.2,2.2,226.2,8.571,317.854,52.581,505.8,1524.235,14.928,3033.584,18.729,1.2
Trickter02,76561198221863496,S25,6,Master,0.667,0.833,1.5,3.333,347.0,20.833,416.688,48.213,682.0,1570.186,13.813,3125.437,21.498,2.333
wicked,76561198819914048,S25,6,Master,0.667,0.333,2.0,2.333,331.333,27.083,420.101,50.832,565.333,1616.752,17.833,3159.852,19.062,1.333
Fanatic,76561198274688205,S25,4,Master,1.0,0.75,2.0,2.75,447.75,36.364,418.631,49.881,594.75,1585.56,19.12,2880.528,21.725,0.25
Girth,76561198079737766,S25,4,Master,1.75,0.5,1.25,2.5,448.0,70.0,380.662,43.268,467.75,1489.241,11.601,3024.152,20.896,0.25
Goofball.-.,c3a8799f943246458207013350d884ea,S25,3,Prospect,1.0,0.667,0.333,1.333,356.0,75.0,354.016,51.198,392.0,1433.982,12.264,2691.066,14.048,1.333
ParaRL,76561198124212196,S25,3,Prospect,0.667,0.333,0.0,1.667,238.667,40.0,393.819,52.354,370.667,1458.113,12.267,2823.554,20.06,0.0
Pivot97,Pivot97,S25,2,Prospect,1.0,0.5,1.0,1.0,296.5,100.0,406.694,43.853,490.5,1487.039,11.031,3030.251,20.64,0.5
Risk.NA,e49af7091eb6498e8a40dad4b7132149,S25,3,Prospect,0.0,0.333,0.333,0.667,202.0,0.0,406.327,50.532,444.667,1488.539,9.358,2598.686,24.631,0.667
Shadows_ss,76561198423772756,S25,2,Prospect,0.5,0.5,0.0,1.5,188.0,33.333,362.108,46.638,305.0,1548.814,12.856,3211.518,17.661,1.5
SludgeMixFuzz,b51444fea00e475cb7ddaf1db78f1f21,S25,1,Prospect,1.0,0.0,1.0,1.0,314.0,100.0,292.0,44.76,350.0,1437.0,9.739,3118.0,14.75,2.0
Thor MAVERICK,eb30bcbc2c9b471d9887d6f7aac2fc62,S25,3,Prospect,1.0,0.333,1.0,4.0,338.667,25.0,348.199,55.055,528.667,1402.706,7.565,2744.336,26.251,1.333
Xcalibur9659,571782ae8a5240af8a05de968edf89f4,S25,3,Prospect,0.0,0.333,0.333,0.667,136.667,0.0,298.208,50.856,335.0,1375.348,6.754,2987.902,18.134,0.0
xihir0,571796adf55247b1b0de1460aaa071af,S25,4,Prospect,0.75,0.75,1.25,2.0,348.5,37.5,393.461,55.915,359.75,1536.488,13.946,2941.308,14.674,0.75
Blitzzzzz.,a4f7f3753ba748ba81634008e9afffc7,S25,4,Prospect,0.75,1.25,1.0,2.75,356.5,27.273,433.096,46.336,660.0,1491.885,12.165,2813.716,26.914,2.0
Cynical89,76561198005141104,S25,4,Prospect,0.25,0.25,1.0,0.75,193.75,33.333,301.629,46.878,444.75,1413.768,8.188,3201.928,18.751,0.75
DumplingsAreGod,4149158df5c542838ebdc7067b8c5172,S25,4,Prospect,1.25,0.25,2.0,3.75,436.0,33.333,362.738,52.887,399.0,1489.796,10.772,3005.249,21.358,1.0
Enterprise15,ca45698144694bfbb3e396411a29e486,S25,4,Prospect,1.0,0.75,1.5,2.0,385.5,50.0,413.871,52.164,532.5,1606.887,19.052,3042.705,20.804,2.75
StruttRL,76561198033380824,S25,4,Prospect,0.75,0.25,1.75,2.5,405.0,30.0,343.378,51.65,388.25,1395.436,8.413,3005.778,17.289,0.75
Titan,76561198151563184,S25,4,Prospect,0.75,0.5,0.0,2.5,254.25,30.0,314.518,45.731,319.75,1453.617,9.878,3175.57,21.888,0.5
