Player,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
Boblo Escobar,S14,43,9Amateur,0.605,0.349,0.977,1.535,257.186,36.633,153.72,51.429,228.93,1277.063,3.135,3091.962,17.955,0.233
ChikHenJoe,S14,19,9Amateur,1.263,0.368,0.842,2.368,334.263,56.991,319.51,52.982,315.737,1426.092,9.915,3661.896,17.476,0.947
CountryWolf3587,S14,34,9Amateur,0.5,0.382,0.824,1.676,253.559,28.624,291.173,53.79,315.088,1390.035,7.799,3200.615,17.497,0.529
LOCKL11N,S14,42,9Amateur,0.619,0.619,0.571,1.762,258.833,35.646,345.731,50.0,396.81,1492.76,12.016,3063.845,21.286,0.762
Silk-Fu,S14,18,9Amateur,0.389,0.111,0.611,1.5,201.5,22.778,272.58,48.869,277.833,1350.404,6.548,3103.046,16.549,0.333
Slowlow,S14,55,9Amateur,0.873,0.491,1.145,2.273,339.782,37.428,273.237,53.418,357.873,1406.669,6.1,2956.538,19.708,0.364
TRobb,S14,56,9Amateur,0.696,0.589,1.179,2.304,329.357,31.078,276.403,54.759,396.286,1384.644,7.218,2771.723,20.035,1.25
EngineerRL,S14,55,9Amateur,0.836,0.236,1.073,2.055,311.709,37.923,303.358,51.904,429.927,1386.181,7.636,3121.055,17.965,1.327
LordSchmicky,S14,5,9Amateur,0.2,0.2,0.2,1.2,157.6,40.0,319.074,53.013,298.2,1430.142,8.51,2912.65,20.747,0.2
Pineapple1860,S14,55,9Amateur,0.527,0.255,1.145,1.691,267.709,32.704,288.43,50.058,359.182,1368.225,7.042,3190.431,16.359,0.836
PridedBird3406,S14,54,9Amateur,1.407,0.574,1.037,3.185,419.704,43.492,267.981,54.421,346.87,1375.434,6.421,3039.823,24.046,0.444
Super Shooter,S14,13,9Amateur,0.692,0.846,0.692,2.846,323.846,24.588,321.122,53.591,469.0,1438.21,7.507,2690.39,24.52,0.231
TechFour,S14,36,9Amateur,0.75,0.389,0.639,1.972,254.694,39.369,207.459,54.871,262.722,1348.914,4.226,3215.577,20.558,0.361
cuse42,S14,15,9Amateur,0.467,0.467,0.867,1.733,246.667,25.348,321.478,54.405,305.6,1458.478,7.169,3285.923,14.975,0.467
papa_lane_88,S14,39,9Amateur,0.641,0.744,0.641,2.0,267.282,31.978,277.236,50.389,553.872,1406.473,9.227,3443.564,23.324,2.179
Alphaslayer6072,S14,46,9Amateur,0.87,0.413,1.37,2.435,353.043,33.352,359.837,52.827,373.674,1436.877,8.244,2885.87,18.791,0.478
CBHIPHOP77,S14,43,9Amateur,0.674,0.419,0.721,2.14,285.093,32.624,358.11,41.774,526.791,1402.725,7.554,3075.49,20.071,0.744
EthrealDoom,S14,41,9Amateur,0.39,0.707,0.585,1.683,230.488,25.087,212.104,57.161,213.659,1427.418,9.463,2957.799,18.888,0.317
FBstovergaming,S14,21,9Amateur,0.952,0.143,0.571,2.429,279.619,38.542,334.986,52.959,398.238,1436.898,10.079,2827.755,19.168,0.571
