Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
Cadomac,76561198348066008,S22,51,Premier,0.902,0.725,1.882,3.373,453.02,26.403,457.367,47.826,597.451,1605.867,20.346,2706.057,21.12,1.02
Enchanted,76561198215419161,S22,56,Premier,0.714,0.714,1.571,2.518,385.661,29.578,379.816,51.113,414.089,1535.987,17.252,2936.171,18.091,0.786
Nightfang,76561198149236121,S22,50,Premier,0.84,0.74,1.24,2.46,351.5,38.047,414.973,48.973,560.62,1538.343,14.99,2806.289,20.991,1.46
Notice,76561198176917342,S22,51,Premier,0.824,0.627,1.49,2.961,386.98,24.163,406.677,45.228,543.373,1573.876,14.386,2771.068,20.62,1.196
ayylo,76561198993846001,S22,50,Premier,0.68,0.36,1.52,2.54,327.56,23.957,396.858,46.713,484.66,1569.709,16.689,2887.019,19.146,0.64
mesi,76561198969152902,S22,55,Premier,1.055,0.455,1.418,3.182,380.382,33.328,391.568,48.803,514.6,1574.984,16.677,2929.418,22.056,1.091
Corrupt,76561198336380626,S22,27,Premier,0.815,0.519,1.519,1.778,348.63,45.414,414.435,46.711,530.222,1511.264,17.123,3000.183,18.573,0.704
DivineRL_ TTV,b44d7585eb094f0096ce219aa4c7a43d,S22,36,Premier,0.583,0.556,1.75,2.139,362.917,25.69,390.672,47.039,509.972,1548.302,13.73,2725.216,22.025,0.778
hawk rl,c7b36b0f633d46609f1ac7ed2a69852c,S22,25,Premier,0.56,0.64,1.08,1.68,283.92,39.2,349.912,51.299,421.28,1532.597,14.677,2880.09,19.016,1.92
kev,76561198220214939,S22,41,Premier,0.732,0.561,1.22,2.561,345.537,29.068,444.073,52.233,664.0,1611.886,17.109,2871.227,22.03,1.341
mogii,76561199044972153,S22,39,Premier,1.128,0.564,1.564,3.282,415.821,33.916,445.975,52.669,688.821,1636.404,20.686,2685.393,25.702,0.897
newo,76561199022253180,S22,41,Premier,0.854,0.659,1.341,2.171,354.317,38.091,425.097,41.177,568.707,1516.357,14.463,2679.39,22.17,0.61
Brody,76561198353438503,S22,27,Premier,0.444,0.519,2.296,2.333,413.333,16.289,405.347,51.877,654.259,1570.985,17.681,2843.128,22.079,0.963
Kamikazi,76561198120810732,S22,44,Premier,0.818,0.341,1.568,2.659,359.409,28.295,459.341,47.736,579.364,1567.467,17.77,2763.94,21.34,0.977
Luigi,76561198883340736,S22,52,Premier,1.019,0.615,1.442,3.192,393.712,31.457,422.154,46.086,495.673,1545.514,15.469,2920.0,20.485,1.077
Sean,76561198271922042,S22,52,Premier,0.577,0.635,1.308,2.096,338.885,28.232,431.014,49.91,614.808,1557.085,17.618,2908.693,20.611,0.712
ASHES.,76561198174404581,S22,52,Premier,0.75,0.577,1.442,2.462,349.635,32.393,441.824,43.261,589.769,1584.925,16.735,2752.203,22.089,1.231
peach,76561198406520145,S22,35,Premier,0.4,0.343,1.343,2.286,292.8,20.218,364.478,46.21,371.057,1537.441,11.86,2835.223,18.82,0.657
Calster,76561198059743159,S22,32,Premier,0.531,0.875,1.344,2.125,335.812,24.954,384.92,46.631,493.0,1541.444,12.955,2882.898,20.123,1.156
GAVALANCHE,76561198262255610,S22,52,Premier,0.827,0.596,1.442,2.538,354.423,30.99,413.808,51.17,599.635,1625.944,20.375,3030.773,22.022,1.462
Stati_c,76561199064381032,S22,39,Premier,0.692,0.564,1.0,2.333,314.641,30.454,413.565,47.452,607.641,1601.321,18.921,2712.769,23.277,1.487
Lonzo Ball,76561198361074957,S22,47,Premier,0.979,0.66,1.447,3.064,395.17,31.687,370.236,48.43,545.383,1502.962,12.688,2974.938,20.41,1.064
bman.,76561198401286050,S22,12,Premier,1.0,0.583,1.5,3.417,434.167,29.0,411.796,47.717,442.75,1544.773,14.626,2731.897,18.467,1.0
jattszn,766976eafb6a412d9327382ad43e4fb6,S22,20,Premier,0.75,0.3,1.85,2.6,376.8,32.214,400.879,48.916,573.4,1592.996,18.658,2963.812,19.545,1.05
spoody,76561197999009720,S22,27,Premier,0.926,0.667,1.556,3.074,393.963,29.182,440.107,47.317,546.185,1561.922,18.039,2903.701,19.118,1.148
Averded,76561198254998243,S22,4,Premier,1.5,0.0,0.75,2.75,367.0,54.545,402.886,49.432,480.25,1575.933,13.255,2830.499,21.445,1.0
Gromit,76561198866778939,S22,55,Premier,1.018,0.636,0.964,3.218,363.691,30.154,450.408,44.929,640.745,1581.518,19.285,2879.044,25.068,1.164
Kruncho,76561198150805706,S22,44,Premier,0.773,0.818,1.25,2.864,370.409,27.71,404.217,49.798,601.955,1601.656,18.466,2809.31,21.798,1.432
LikeWisse,76561198985500492,S22,46,Premier,1.043,0.717,1.457,2.674,400.413,39.187,400.669,47.88,589.87,1531.363,15.629,2920.154,24.131,1.0
ScuLa,76561198880064610,S22,55,Premier,0.909,0.891,1.727,2.909,429.709,29.313,391.92,48.635,465.6,1572.601,15.392,2738.072,22.795,0.673
tox,76561198838918627,S22,51,Premier,1.059,0.765,1.235,2.882,393.588,36.996,433.921,44.92,606.902,1624.242,17.532,2856.995,22.713,1.333
GrEh,76561198302117804,S22,56,Premier,1.179,1.089,0.964,3.821,409.536,31.243,419.888,48.542,520.054,1663.184,20.048,3031.637,20.986,0.804
Leonis,76561198392200669,S22,56,Premier,0.607,0.804,1.786,2.339,380.554,26.083,396.602,51.205,542.643,1528.207,13.771,2856.434,19.476,1.536
Monster.,76561198129119161,S22,56,Premier,0.964,0.875,1.196,3.214,387.107,30.301,454.214,46.398,596.589,1610.464,18.228,2914.682,21.909,0.893
phoenix,76561199029571418,S22,56,Premier,1.107,0.768,1.661,3.464,420.589,31.84,421.968,46.707,521.304,1599.785,18.233,2990.028,23.016,0.804
Yujin,76561198968803489,S22,52,Premier,0.885,0.365,1.519,2.327,358.077,37.972,405.351,46.911,415.077,1559.972,16.796,2879.154,17.983,0.885
ghosty rl,3981d9343f494201af985b132653fc73,S22,8,Premier,0.25,0.25,2.25,2.0,336.625,10.0,447.705,50.576,619.5,1599.51,18.695,2796.291,17.463,1.125
Water RL,69a5c97f06f249398169302dd687a9ea,S22,44,Premier,0.682,0.591,1.659,2.705,380.886,24.072,438.666,45.594,562.614,1502.745,14.955,2899.89,18.202,0.818
comet,76561199011425079,S22,51,Premier,0.765,0.686,1.216,2.627,364.49,27.63,438.756,49.248,666.412,1620.261,20.452,2807.474,25.016,1.431
Feathers McGraw,76561198398053149,S22,13,Premier,0.615,1.0,1.154,3.385,367.846,14.932,381.629,49.539,577.615,1471.242,11.929,2838.854,20.481,0.308
LaMelo Ball,76561198035957818,S22,32,Premier,0.844,0.562,0.812,2.5,328.125,34.976,412.59,51.823,538.25,1610.169,18.126,2920.508,20.937,0.75
Rule,76561198088056507,S22,37,Premier,0.784,0.432,1.676,2.081,351.432,35.905,422.293,47.55,546.784,1557.13,14.006,2883.423,21.914,0.811
Ace!,76561198887002043,S22,39,Premier,0.641,0.795,1.641,2.795,390.744,22.372,439.085,44.771,483.615,1533.419,15.808,2765.929,17.609,0.872
ha ha boo.,0aa5158f01fc4008b420d73919efec8e,S22,26,Premier,0.654,0.577,1.731,2.308,351.269,29.267,383.132,45.62,474.808,1466.787,12.637,2838.346,18.076,1.269
feed.,76561198146913450,S22,2,Premier,0.0,0.5,2.5,1.5,292.5,0.0,364.618,45.015,405.0,1524.93,12.766,2741.323,16.993,0.0
Infinite,76561198426108307,S22,60,Master,1.017,0.717,1.483,2.5,395.183,40.864,399.553,44.288,564.683,1553.232,14.218,2901.728,20.361,1.0
Reeves,76561198799170780,S22,40,Premier,0.875,0.7,1.625,3.175,409.35,27.328,396.641,46.102,515.875,1520.78,15.044,2948.024,21.239,1.8
FrenchyNF,3b90cfc34f794b51a2afa4724d567f78,S22,19,Premier,1.053,0.684,1.105,2.632,353.684,39.035,407.493,44.073,491.316,1522.358,14.379,2761.828,22.825,0.789
Mystikal,76561198666262998,S22,4,Premier,0.5,0.5,1.0,1.75,272.0,28.571,385.852,45.587,344.5,1545.332,15.987,2797.99,17.16,1.25
Wallace,76561198386757598,S22,3,Premier,1.0,0.333,1.667,2.333,342.667,43.333,347.525,42.456,458.0,1493.122,13.425,2949.211,18.101,1.667
Lavar Ball,76561199072046190,S22,24,Premier,0.542,0.625,1.5,2.833,355.292,21.376,457.204,47.231,559.917,1640.861,22.946,2994.69,20.636,1.417
Divine,76561198298726988,S22,12,Premier,0.75,0.833,1.583,2.25,388.583,39.286,370.891,47.013,548.5,1524.656,13.969,2686.067,23.037,1.333
exy,76561198398926981,S22,4,Premier,0.25,0.75,0.5,3.25,239.25,7.692,401.837,49.773,806.75,1605.443,16.179,2648.304,25.633,0.5
wicked.,76561198362087311,S22,26,Premier,0.769,0.654,1.346,2.538,369.538,33.323,423.275,44.565,626.269,1596.7,16.625,2817.964,22.886,1.231
Jay,76561198093297973,S22,63,Master,1.254,0.603,2.222,3.54,487.698,36.481,357.61,54.589,575.81,1521.162,13.56,2748.31,23.094,0.873
jeffbravo07,7e2e8ae6306a4af4b0d98ba7a75a8e0e,S22,4,Premier,0.5,0.75,0.75,2.25,302.0,22.222,390.368,49.604,501.0,1597.538,18.373,2869.478,18.468,1.0
Stati_c,f696062e50a9486187c017de5205eb0b,S22,4,Premier,0.75,0.5,0.75,3.5,274.0,21.429,346.17,41.282,455.75,1480.717,13.915,2739.869,20.757,1.25
jatt,76561198422982515,S22,4,Premier,1.5,1.0,1.25,3.75,483.5,40.0,428.639,47.618,586.75,1608.978,18.804,2915.519,17.602,1.0
Danwad,76561197970531979,S22,4,Premier,0.5,0.0,2.25,1.25,310.75,40.0,421.236,46.83,565.5,1584.231,17.052,3065.64,18.084,0.25
Ghxst,76561198968188043,S22,4,Premier,0.25,0.0,2.0,2.75,310.0,9.091,364.681,46.622,512.75,1562.26,13.981,2743.742,22.468,1.0
Doty,76561198430506947,S22,21,Veteran,0.714,0.476,1.19,2.571,340.81,27.733,379.013,48.732,409.333,1584.609,15.772,3076.308,21.329,0.857
C01E01,726fb1e88bf64c818968462f4a9a4af1,S22,59,Veteran,1.102,0.593,1.576,3.22,425.39,37.125,396.364,48.273,561.661,1528.487,13.685,2974.386,23.527,0.576
GameGang,76561198959473889,S22,59,Veteran,0.695,0.661,0.966,2.373,314.017,31.267,371.998,46.287,605.492,1571.466,13.417,3198.897,23.335,1.288
Hawkish,76561198125170851,S22,48,Veteran,0.958,0.542,1.354,3.187,379.833,30.11,328.289,48.814,461.271,1449.818,8.816,2868.863,20.592,0.75
Inedibledeer,76561198173322199,S22,25,Veteran,0.6,0.36,1.24,2.12,303.32,31.297,354.759,47.073,396.64,1500.98,12.492,3228.571,18.834,0.92
Squashy,76561198082886770,S22,60,Veteran,0.75,0.717,1.417,3.083,368.733,23.36,353.03,45.631,515.15,1453.464,10.277,2856.797,24.852,0.817
chefty,76561198043098638,S22,61,Veteran,0.475,0.475,1.41,2.23,309.574,22.043,398.968,46.581,437.541,1530.378,11.533,2861.233,17.979,0.689
.S,76561199049824875,S22,60,Veteran,0.967,0.6,1.033,3.033,377.117,32.645,361.473,48.094,478.6,1463.548,9.328,2938.427,22.495,0.483
Bas Radala,76561198043113722,S22,36,Veteran,1.167,0.556,1.444,3.333,428.111,35.212,378.689,53.605,491.611,1594.092,15.52,3134.554,21.602,0.833
