Player,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
DgitlSickBoy,S13,54,9Amateur,1.056,0.463,1.13,2.352,351.037,42.013,222.259,56.891,337.111,1297.721,4.703,2955.303,18.717,0.648
JonB,S13,49,9Amateur,0.673,0.306,1.041,1.816,278.061,38.484,197.455,54.054,260.02,1274.885,4.091,2934.023,17.387,0.551
Slowlow,S13,54,9Amateur,0.704,0.481,1.148,1.722,319.481,41.208,234.697,54.797,293.167,1352.759,4.73,2798.319,18.74,0.278
Tazlien,S13,48,9Amateur,0.854,0.542,1.354,2.396,365.271,37.002,314.805,55.241,319.417,1372.928,8.204,3230.474,16.213,0.542
ZiggoMC,S13,17,9Amateur,0.235,0.118,0.412,0.353,94.941,58.824,193.047,46.79,137.706,1240.921,3.108,3204.447,9.004,0.059
underbreadbore,S13,43,9Amateur,0.372,0.116,0.977,1.14,198.581,30.797,292.034,45.63,322.442,1377.51,8.113,3346.29,16.448,0.628
CBHIPHOP77,S13,52,9Amateur,0.673,0.288,0.942,1.865,290.885,29.7,376.303,46.785,474.365,1409.453,8.157,3105.219,17.584,0.827
Demonikgoat4061,S13,6,9Amateur,0.833,0.167,0.833,1.167,250.0,66.667,280.902,43.095,201.833,1326.829,7.693,3485.16,13.863,0.5
MaChInImEr,S13,8,9Amateur,1.25,0.375,1.0,2.75,339.5,45.833,291.471,49.481,385.5,1408.983,7.282,3099.441,17.028,0.25
SailingSteven,S13,54,9Amateur,0.444,0.222,0.87,1.13,216.222,40.6,357.917,46.234,386.963,1422.907,11.012,3426.401,15.206,0.852
Shootzy,S13,40,9Amateur,0.625,0.2,0.65,1.525,221.525,35.708,254.356,49.732,330.35,1405.044,7.452,3279.436,18.246,0.85
SomebodyDoSometh,S13,3,9Amateur,0.0,0.333,0.0,1.333,120.667,0.0,234.012,56.69,181.333,1422.099,7.704,3238.779,18.706,0.0
SpeedyBoi18,S13,42,9Amateur,0.667,0.452,0.952,2.048,281.143,31.404,232.42,52.257,299.857,1370.027,6.075,3020.72,18.789,0.857
Krypt0_.,S13,40,9Amateur,0.425,0.675,0.6,1.6,235.425,30.456,336.377,43.811,332.975,1463.279,9.607,3058.006,18.89,0.275
Snazzy_Noodle,S13,15,9Amateur,1.067,0.4,0.867,2.2,325.133,49.475,297.056,56.17,440.133,1451.254,7.724,3115.959,20.542,0.4
WeirdKiwi,S13,47,9Amateur,1.574,0.66,0.787,3.511,410.787,44.784,398.459,47.798,584.213,1531.792,13.717,2645.059,26.102,1.298
jdoyle15,S13,8,9Amateur,0.25,0.125,0.375,0.625,131.375,50.0,298.792,53.806,319.0,1319.475,8.975,3467.879,15.029,0.0
kamikaze7200,S13,47,9Amateur,1.149,0.766,0.894,2.447,361.66,46.201,280.738,54.349,366.979,1380.819,7.452,2925.976,20.756,0.66
shadic148,S13,55,9Amateur,0.964,0.418,0.927,2.418,321.618,39.943,295.109,52.324,327.727,1336.368,6.158,2861.471,21.57,0.436
EthrealDoom,S13,44,9Amateur,0.75,0.477,0.568,1.977,270.227,39.343,201.129,56.35,182.25,1403.536,7.21,2973.284,17.686,0.364
JustLaben,S13,56,9Amateur,1.732,0.768,0.857,3.411,446.696,50.605,300.129,53.331,347.839,1431.505,7.928,3112.692,20.652,0.357
Kobra432674,S13,3,9Amateur,0.333,0.333,0.667,0.667,176.333,33.333,221.789,35.42,62.333,1258.386,5.072,3154.118,12.493,0.333
ShakeWe8,S13,23,9Amateur,0.826,0.565,1.304,2.087,330.783,42.499,307.689,48.68,347.261,1309.176,7.074,2896.362,17.473,0.87
Suxze,S13,56,9Amateur,1.304,0.768,0.732,3.304,384.446,36.9,264.37,53.573,393.5,1389.814,5.636,2963.6,19.775,0.268
cuse42,S13,34,9Amateur,0.735,0.471,0.235,1.647,201.618,43.211,313.922,54.075,369.147,1464.625,8.037,3451.419,21.175,0.471
papa_lane_88,S13,42,9Amateur,0.762,0.286,1.119,1.833,297.476,36.354,257.05,49.172,469.333,1404.075,8.029,3054.471,21.276,2.071
DJSkye1990,S13,23,9Amateur,0.435,0.348,0.739,1.13,188.174,28.571,216.77,58.658,153.826,1271.812,4.091,3409.088,12.352,0.348
Escorm,S13,9,9Amateur,0.111,0.667,0.444,0.889,178.0,7.407,277.327,44.71,327.556,1369.89,7.194,2980.965,15.809,0.222
SolarToaster,S13,39,9Amateur,0.821,0.59,0.692,1.769,255.744,46.695,275.141,44.21,319.436,1396.204,6.896,3246.245,19.011,0.487
w0odhou5e,S13,31,9Amateur,0.548,0.484,1.032,1.903,276.871,30.938,273.784,52.125,271.742,1444.899,8.14,3269.766,17.401,0.452
ihavehalfhp,S13,28,9Amateur,0.857,0.286,0.857,2.143,263.357,36.914,249.735,52.785,313.786,1334.269,8.065,3282.481,17.399,0.857
IamDMachinee,S13,38,9Amateur,0.789,0.447,0.895,2.237,321.763,34.71,286.189,54.726,329.921,1375.241,5.899,2923.626,18.657,0.368
Sinthesized_,S13,6,9Amateur,0.833,0.333,0.667,1.0,277.333,83.333,317.779,41.898,338.167,1240.06,5.687,3132.348,15.014,0.0
Speciial_Eddy,S13,48,9Amateur,0.958,0.667,0.562,3.125,324.542,30.438,316.759,54.604,367.417,1409.507,9.232,2812.229,21.693,1.208
Bear_Fitz,S13,22,9Amateur,0.682,0.318,1.045,1.273,258.409,54.394,186.106,50.663,212.818,1247.321,3.41,3223.493,14.945,0.318
SEWER SHARK,S13,2,9Amateur,0.0,0.0,0.0,0.5,55.0,0.0,141.492,55.044,111.0,1172.415,2.068,2927.415,13.523,0.0
cbsq,S13,16,9Amateur,0.75,0.5,0.688,2.188,272.625,32.143,320.471,48.443,455.062,1282.958,7.574,2570.75,24.507,0.938
LordSchmicky,S13,21,9Amateur,0.714,0.667,0.286,2.0,235.81,31.052,310.91,52.292,340.905,1471.098,9.169,3180.998,20.3,0.429
Mooseyslaya,S13,5,9Amateur,0.4,0.0,0.2,0.4,112.4,20.0,194.115,53.882,172.4,1312.452,4.07,3234.849,14.199,0.0
attack3432,S13,3,9Amateur,0.333,0.0,0.333,0.667,96.667,50.0,189.509,56.186,238.333,1240.678,5.266,3664.123,15.149,0.333
LOCKL11N,S13,12,9Amateur,0.583,0.583,0.583,1.333,252.167,39.167,332.877,47.844,419.833,1425.354,7.379,2919.363,19.876,0.667
TechFour,S13,12,9Amateur,0.083,0.25,1.167,0.583,187.5,16.667,166.978,52.154,173.417,1233.028,3.645,3082.411,12.008,0.083
bernatra,S13,8,9Amateur,0.625,0.25,0.5,1.75,218.125,35.714,325.943,49.807,350.5,1386.561,8.64,3104.12,17.122,0.75
Buck_Nut82,S13,3,8Contender,0.667,0.667,1.667,1.0,356.333,66.667,336.326,45.449,489.333,1420.195,9.662,3241.653,21.405,0.333
Dafiya711,S13,2,8Contender,0.0,0.0,1.5,1.5,273.5,0.0,338.703,46.994,454.0,1438.672,11.643,3040.773,18.914,0.0
Dofri9976,S13,3,8Contender,1.0,0.333,1.0,2.0,301.333,50.0,353.256,53.585,409.667,1375.226,7.299,3119.294,16.647,1.0
Rocci,S13,6,8Contender,0.833,0.5,0.833,2.0,295.667,41.429,337.717,45.848,432.5,1399.083,6.66,3033.429,21.979,0.833
Stale Popcorn,S13,2,8Contender,0.0,1.0,1.0,2.0,236.0,0.0,350.0,46.81,500.5,1403.0,6.102,2969.5,23.428,1.0
TacticalStr1ke,S13,4,8Contender,0.25,0.0,1.75,1.75,264.5,14.286,257.716,49.533,195.0,1301.674,5.355,3559.12,12.834,1.0
jcrdude,S13,8,8Contender,0.5,0.375,0.875,2.125,271.125,25.758,268.127,51.892,386.0,1404.128,7.655,3082.084,20.259,0.875
yPeTee,S13,8,8Contender,1.125,0.25,1.75,3.625,426.875,28.535,358.674,54.667,491.125,1446.334,8.787,2699.431,22.41,0.125
Boulder God,S13,12,8Contender,0.75,0.25,0.833,1.5,246.583,53.571,286.58,53.805,388.25,1421.184,9.101,3219.119,19.409,0.667
FuDanSynder,S13,20,8Contender,1.15,0.4,0.9,2.9,354.9,39.329,314.589,45.748,495.95,1348.329,6.074,3252.343,19.74,0.7
M0ngO.,S13,5,8Contender,0.4,0.8,0.6,2.2,262.4,13.333,277.562,48.914,411.4,1407.571,7.392,2958.614,19.707,1.2
Smitty,S13,11,8Contender,0.818,0.364,1.182,2.091,314.273,39.717,300.23,46.934,335.545,1410.314,7.387,3151.641,18.597,0.727
Tokifyy,S13,20,8Contender,1.2,0.75,0.65,2.8,361.5,41.626,333.767,49.853,352.65,1510.247,11.406,2857.719,19.383,0.85
Trios,S13,4,8Contender,0.5,0.25,1.0,1.0,217.5,50.0,291.178,46.004,268.5,1355.244,4.94,3067.701,23.506,0.0
prestondew00,S13,4,8Contender,0.5,0.25,0.0,3.0,185.5,16.667,339.669,57.076,256.5,1527.841,12.268,3621.095,19.882,1.0
Alextross,S13,6,8Contender,1.167,0.667,1.167,1.833,337.667,51.852,172.815,63.588,326.167,1278.281,3.181,2900.721,20.555,0.333
Jiffy_Lube6925,S13,11,8Contender,0.818,0.636,0.909,2.818,325.727,29.339,361.574,46.388,290.818,1476.465,8.217,2944.94,18.958,0.364
KevvohG,S13,16,8Contender,0.938,0.438,1.0,2.812,334.938,32.57,390.228,57.443,613.312,1538.78,16.833,3482.577,21.302,0.938
Kush_the_Ninja,S13,11,8Contender,0.818,0.636,1.0,2.545,300.273,32.273,299.715,43.052,445.0,1374.458,6.827,3038.245,21.707,0.455
THE SUSSER,S13,3,8Contender,0.333,1.0,0.333,3.0,204.0,11.111,338.348,55.335,547.0,1354.062,9.789,2922.236,24.679,1.0
kgfan3,S13,16,8Contender,0.875,0.562,0.812,2.25,322.375,37.435,297.504,53.997,490.25,1340.477,6.055,2861.476,22.661,0.312
xAtom.,S13,3,8Contender,0.0,0.333,0.667,1.0,168.667,0.0,301.059,46.678,316.333,1401.7,8.281,3260.109,18.316,0.0
BUD-LITE4U,S13,10,8Contender,0.7,0.3,0.7,2.1,289.4,33.117,364.067,47.442,352.4,1481.575,10.647,3138.812,18.464,1.4
Beacon_Trill,S13,18,8Contender,0.556,0.222,1.556,1.333,279.611,40.0,324.288,52.252,385.778,1454.653,9.63,3356.677,15.765,0.833
Diesel,S13,15,8Contender,0.867,0.8,1.0,2.2,357.2,37.447,309.757,47.542,380.333,1423.613,9.082,2844.421,17.784,0.8
FluffyNinja4738,S13,6,8Contender,0.5,0.5,0.833,1.833,231.667,28.333,275.646,51.588,262.167,1413.33,6.337,3257.806,16.207,0.5
KasperThePoet,S13,19,8Contender,0.737,0.368,1.474,1.789,334.842,43.649,276.761,46.992,272.842,1433.226,8.358,2879.573,16.282,0.368
ShazamPoof,S13,9,8Contender,0.667,0.222,0.333,1.778,232.444,38.36,339.647,53.419,496.333,1521.371,13.644,3241.151,23.478,0.111
Squirrel,S13,9,8Contender,0.667,0.778,2.0,1.111,362.667,65.0,400.605,44.2,377.556,1487.768,11.246,2845.686,19.309,2.111
Sup3rm4n,S13,11,8Contender,0.636,0.364,0.818,2.364,282.182,27.597,356.304,49.057,448.545,1469.323,10.975,3178.556,22.874,0.818
CaliChromatic,S13,2,8Contender,0.5,0.0,0.5,3.5,255.0,14.286,293.967,47.632,369.5,1493.086,11.373,3421.755,23.071,0.5
CarlSaganBro,S13,11,8Contender,0.273,0.091,1.091,0.909,222.636,15.584,251.276,47.952,289.273,1360.803,7.013,3068.75,13.647,0.182
CrimzonSparrow,S13,15,8Contender,0.533,0.0,0.867,1.733,252.733,33.03,305.681,52.484,364.333,1416.164,7.136,3442.849,17.574,0.2
Deweese3018,S13,4,8Contender,0.75,0.75,0.25,2.5,256.75,30.0,323.909,58.499,433.0,1470.485,9.883,3493.435,23.172,1.25
Financial Greed,S13,2,8Contender,0.5,1.0,1.0,4.5,336.0,11.111,322.938,56.341,649.5,1410.815,9.052,3220.58,25.885,1.0
KDoughboy767,S13,7,8Contender,0.0,0.143,1.571,0.857,206.143,0.0,209.648,51.596,249.571,1312.568,6.247,3447.549,13.007,1.0
realtar21ki11er,S13,4,8Contender,1.25,0.0,0.75,3.25,328.25,38.462,338.98,55.532,560.0,1489.666,9.195,3064.743,25.248,1.75
xXBlindBeastXx,S13,10,8Contender,0.7,0.4,1.2,1.9,308.9,20.0,358.171,47.899,362.0,1414.055,9.175,3105.143,19.195,0.2
Array,S13,10,8Contender,1.0,0.4,0.9,2.1,327.0,48.381,321.45,49.513,415.9,1507.298,10.984,3258.393,23.717,0.6
Avacadros,S13,14,8Contender,0.5,0.857,0.857,1.571,267.214,29.167,346.011,49.212,336.714,1440.972,9.542,3504.049,16.956,0.786
CharlieHarley_1,S13,2,8Contender,0.5,1.0,0.5,1.0,192.5,25.0,286.5,46.1,375.5,1342.0,8.36,3373.0,19.218,0.5
Sharkkilla06,S13,4,8Contender,1.0,0.25,1.0,3.25,358.25,30.769,334.637,42.91,444.0,1381.566,6.562,2803.431,23.088,0.5
