Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
Juxties,6ffff944408b4820a49743ff3e39fe34,S20,59,Prospect,0.746,0.407,1.22,2.136,317.678,36.009,268.856,48.885,248.034,1339.395,5.564,2991.849,16.269,0.407
LGUPorkers,cc8ffd3496d849cf8bfe2f130f1a709f,S20,18,Prospect,0.444,0.167,1.167,1.611,268.611,20.741,332.574,55.996,420.278,1416.66,8.126,3325.874,16.379,1.278
Novarchite,76561198162797966,S20,51,Prospect,0.588,0.353,1.02,2.098,281.039,27.372,317.102,50.002,364.392,1429.629,8.594,3202.258,17.707,0.529
Ozzy,76561197979423696,S20,50,Prospect,0.62,0.38,1.24,2.2,307.58,27.207,364.159,50.413,339.48,1389.15,8.722,3125.331,15.016,0.62
Shraggaholic,8e539df1255a4d0f808cd442288335bf,S20,35,Prospect,0.4,0.457,1.229,1.771,270.286,19.252,307.099,50.092,400.4,1385.5,6.949,3178.836,16.988,0.829
TPM_CheezeTV,TPM_CheezeTV,S20,51,Prospect,0.647,0.255,1.392,2.431,333.49,26.322,276.503,60.159,508.706,1428.802,7.496,3099.807,21.37,0.373
wolverine36535,76561198106469281,S20,49,Prospect,0.531,0.429,1.041,1.857,278.408,29.972,349.243,53.258,458.143,1479.165,12.372,3313.497,18.141,0.735
Balynce,f9e84f26d5074a9cad73fd3a619668fe,S20,43,Prospect,1.116,0.465,0.977,2.953,358.93,35.983,406.648,54.465,475.628,1559.89,13.021,3258.738,20.301,1.093
Pablo v2,76561199029976975,S20,53,Prospect,0.679,0.566,1.264,2.226,327.868,29.943,419.561,51.76,571.434,1525.693,13.632,2948.351,19.766,1.075
Rcmblocks,76561198293696435,S20,37,Prospect,1.162,0.784,1.054,2.865,378.351,40.703,409.642,51.473,383.865,1551.894,11.885,2847.447,19.336,1.514
