Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
Cynical89,76561198005141104,S26,10,Contender,1.3,0.4,0.8,2.6,361.3,50.0,297.207,45.442,364.2,1380.194,6.678,3301.357,19.995,0.8
Gaymer_Jess207,Gaymer_Jess207,S26,9,Contender,0.333,0.667,0.778,1.667,265.667,17.778,269.585,50.158,313.222,1270.783,5.025,3137.326,13.523,1.0
No Mechs. HELP,a46cd7f2649e49d39ae216573cd3f743,S26,13,Contender,1.0,1.077,1.538,3.615,452.154,28.009,377.478,51.617,646.846,1492.949,12.094,3064.133,24.513,1.077
OnlySlim2198,OnlySlim2198,S26,2,Contender,0.0,0.0,1.0,1.0,108.0,0.0,355.499,38.65,306.0,1346.002,7.568,3057.504,9.043,1.0
Shraggaholic,8e539df1255a4d0f808cd442288335bf,S26,12,Contender,0.75,0.25,1.583,1.25,322.667,60.0,311.86,49.659,501.0,1368.622,6.118,3078.433,19.826,1.417
SuperThr33s,01f1cf1eea8d46cab96e8f38f8985878,S26,12,Contender,0.5,0.25,0.917,1.75,271.333,20.635,283.401,50.683,437.083,1399.77,6.999,3547.374,19.462,1.25
Swirlz,76561198025647566,S26,6,Contender,0.833,0.833,1.167,3.0,357.167,27.381,384.544,52.778,473.667,1490.596,11.655,3274.041,21.346,0.333
oofitsfine,1564799836a44a0f93025f13957ead17,S26,14,Contender,1.357,0.5,1.071,3.357,387.857,40.081,384.556,54.692,603.357,1552.972,12.877,3122.339,22.086,1.714
sebulba.rl,33b148f0692f4505a84441d47f33a436,S26,7,Contender,0.286,0.571,1.571,1.0,289.714,9.524,309.76,50.064,273.143,1438.816,10.678,3153.935,14.524,0.571
virchowtriad,55232e482ecb42abb460434879c18180,S26,11,Contender,0.636,0.364,1.091,3.818,312.273,18.907,373.919,51.246,448.364,1430.473,7.689,3146.792,19.519,0.364
AZoroARK,e976e9c6af544dbf922d1e25f25ba762,S26,9,Contender,0.778,0.444,0.333,1.889,272.111,40.952,327.241,50.742,371.778,1413.26,8.178,3147.774,20.715,1.222
Arana5418,54087c81c225434aa571e3a8cdb002d3,S26,12,Contender,0.917,0.5,1.083,3.0,351.25,29.569,270.822,55.419,355.25,1429.412,10.455,3009.747,17.652,0.333
CrucialUrchin,03d822c181f44fe297b6dec825e36425,S26,11,Contender,0.636,0.545,0.909,2.091,293.273,30.0,443.023,45.263,471.091,1373.61,9.026,2825.368,17.879,0.455
Jayboaah,385f0762a1854c89963fd1e9f3f5e34a,S26,8,Contender,0.625,0.5,0.75,3.0,264.5,21.607,300.559,42.951,519.25,1276.326,6.283,3049.633,26.187,0.625
Spare4daGreen,Spare4daGreen,S26,7,Contender,0.429,0.429,0.857,2.286,267.857,17.687,365.288,50.59,400.571,1513.923,11.696,2881.642,23.326,0.429
StephM2_,ec55798d2fdd4d3b8d52dc3ae9ace391,S26,8,Contender,0.5,0.25,1.5,2.25,304.125,20.833,432.449,53.185,706.0,1614.643,17.003,3203.396,25.817,1.625
j_durv,j_durv,S26,7,Contender,0.571,0.571,0.857,2.0,275.286,28.571,249.95,54.082,281.857,1378.473,10.602,3219.545,20.482,0.571
llokxz,llokxz,S26,6,Contender,0.333,0.0,1.833,1.333,265.167,19.444,296.933,55.581,215.5,1321.209,5.595,3474.913,10.916,0.0
BestLilPsycho,BestLilPsycho,S26,3,Contender,1.0,0.333,1.0,2.333,332.333,42.857,316.804,48.252,110.0,1399.186,10.004,3752.646,12.876,0.333
Gambit,76561198063227106,S26,11,Contender,0.364,1.091,1.636,3.091,388.727,12.432,319.93,47.682,464.727,1383.385,6.513,2620.849,24.267,0.636
Kenjicat17,66e3fc60e0c64830a7a40c349aec4c7e,S26,5,Contender,0.2,0.0,1.4,1.0,220.2,15.0,278.164,51.002,295.0,1473.477,9.417,3306.566,17.445,0.2
KorusRay,76561197989352924,S26,3,Contender,0.0,0.667,2.0,1.667,309.0,0.0,427.935,51.948,519.0,1503.848,15.094,3002.842,20.632,0.333
MiniTechniks,f6add6613c4247f58c35ede2f8a0ad35,S26,11,Contender,1.0,0.273,1.273,3.0,372.818,36.713,308.516,47.128,459.727,1383.8,6.803,3010.193,22.707,1.273
Monteca,76561198363484321,S26,9,Contender,0.667,0.444,0.889,2.222,271.444,29.497,374.833,50.973,614.556,1489.687,11.006,3276.538,25.266,2.333
RyGuy2flie,RyGuy2flie,S26,11,Contender,1.273,0.182,1.545,2.636,389.091,46.494,322.539,48.701,405.455,1402.71,9.043,3135.998,18.704,0.091
Thenetkiller27,b9a2b17d0e2149e980957f9331c6e872,S26,11,Contender,0.455,0.636,1.818,2.182,337.0,20.776,319.264,49.927,322.636,1401.824,8.253,2915.233,19.842,0.545
BeardedFrodo1,06461ccc0bed4d668fcae0b1a92aa600,S26,14,Contender,0.571,0.214,0.714,1.571,237.071,36.667,273.602,56.768,321.429,1419.49,9.877,3687.195,15.526,0.643
DJ L1T,345d7f4ddbc74c398c12704a0b70dbb4,S26,10,Contender,0.5,0.9,1.3,2.4,341.8,18.571,361.916,47.399,516.3,1433.223,9.068,2821.843,22.578,0.4
