Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
wall2wall3,76561198862775763,S24,60,Elite,1.05,0.65,1.15,2.883,365.1,37.144,407.189,47.922,590.5,1542.508,13.39,2994.151,22.655,1.217
AEB311,76561198042555323,S24,52,Elite,0.808,0.75,1.038,2.808,344.404,27.769,382.267,48.708,650.923,1561.485,12.277,3089.347,24.655,0.404
Luminati7,76561198048392492,S24,63,Elite,0.889,0.746,1.667,2.683,406.032,31.562,448.804,46.277,498.238,1646.772,22.272,3135.18,19.92,2.778
Oddtrip,76561198866234752,S24,39,Elite,0.795,0.692,1.051,2.744,340.128,28.64,379.23,50.448,479.103,1535.355,14.11,2945.941,19.585,0.795
Saucy Rexy,76561198159454627,S24,59,Elite,0.983,0.78,0.932,2.983,352.051,30.914,343.328,49.238,534.797,1498.069,11.016,2872.868,21.911,0.695
rozi-,0b286b37a63645bba01582efb693aa79,S24,57,Elite,0.877,0.772,1.579,2.825,409.018,31.173,417.644,48.849,549.667,1488.243,11.233,2988.453,20.663,1.474
wicked,76561198819914048,S24,63,Elite,1.016,0.46,1.317,3.667,383.175,28.052,431.532,54.421,556.73,1612.524,17.397,3186.176,20.783,1.524
buckle,76561198158173664,S24,60,Elite,0.65,0.6,1.7,2.133,356.133,30.652,376.743,54.381,529.1,1475.166,13.9,2938.196,19.909,1.0
taz.rm,cd12145a655641489af8f07897def917,S24,27,Elite,0.556,0.593,1.407,2.148,330.407,26.884,388.059,48.546,489.593,1565.695,16.611,3075.004,22.347,0.889
Ziffy,76561198821924246,S24,7,Elite,0.429,0.143,2.0,1.571,357.571,26.531,389.417,45.857,514.429,1491.788,10.517,2960.803,21.291,0.143
Crazics,76561198307234805,S24,44,Elite,0.682,0.568,1.591,2.545,342.432,27.495,354.579,55.989,473.705,1511.567,11.052,3095.398,18.085,0.682
Mightie31,f812140ff7b24617a4ea71f673b7f10c,S24,34,Elite,0.412,0.441,1.206,1.941,295.176,21.617,343.097,45.77,418.5,1492.278,9.946,2699.805,20.918,0.647
dvorl.ttv,ede0a0ef233a410b952534813c0ed6a0,S24,38,Elite,0.526,0.605,1.158,2.947,318.5,18.3,364.182,48.781,461.395,1543.172,15.741,3245.021,20.33,0.868
GameGang,76561198959473889,S24,41,Elite,0.512,0.341,1.073,2.171,283.171,22.23,343.607,46.554,564.073,1555.193,12.589,3073.498,22.216,1.122
Zoomin,76561198162246041,S24,57,Elite,0.632,0.316,1.754,2.175,366.632,31.845,388.394,46.996,550.596,1553.972,16.003,2944.367,19.817,0.965
HaZard,76561198035631727,S24,51,Elite,0.882,0.647,0.961,2.745,321.549,32.622,354.562,52.6,615.216,1563.535,11.138,3009.385,23.751,1.549
Light_Wigglebean,ed32bb32704841f59e0992dbb34f7a25,S24,52,Elite,1.038,0.865,1.308,3.327,416.885,31.686,444.397,50.463,679.519,1636.11,22.041,2881.023,23.559,1.635
Chefty,76561198043098638,S24,7,Elite,1.143,0.571,1.143,2.143,376.429,63.265,384.232,42.17,446.429,1514.584,10.709,2809.763,19.153,0.429
Pirate Princess Local!,76561198416930180,S24,36,Elite,1.028,0.667,1.972,3.056,443.389,34.603,398.041,50.236,628.111,1619.351,18.423,2949.512,24.374,1.056
chawes.,94c66d0109a84db3b4c111ac1c4e38c2,S24,43,Elite,0.977,0.651,0.953,3.0,354.07,32.553,380.496,44.989,583.442,1463.793,11.359,2804.508,22.945,1.186
Beans,76561198055438202,S24,37,Elite,0.892,0.622,1.703,2.162,358.865,40.998,375.788,49.71,486.0,1496.239,12.507,3172.043,17.855,1.027
Ocular8,579e04b7993944efab25d3e7d5ce4486,S24,2,Elite,0.0,0.5,2.0,1.5,292.5,0.0,357.0,47.49,272.0,1487.0,10.079,3146.0,17.635,0.0
EKA Luminous,EKA Luminous,S24,37,Elite,0.73,0.568,1.189,2.622,320.73,29.204,414.767,49.839,615.865,1506.317,11.58,3119.149,22.008,0.865
Kourses,76561198334993514,S24,2,Elite,0.5,0.0,0.5,2.5,207.0,20.0,389.254,47.697,227.0,1516.552,13.458,3371.791,17.769,0.5
Fused Gavin,Fused Gavin,S24,23,Elite,0.783,0.565,1.696,2.174,359.565,39.279,417.685,42.854,591.783,1588.336,19.949,2869.341,21.269,0.652
Sauce_Boss_36,2d3db7a4a59b4affb838b6b6ff6eedb3,S24,49,Elite,0.878,0.796,1.327,2.878,366.041,31.145,359.495,53.646,501.02,1540.594,13.338,3100.496,20.719,1.143
ttv. blestbb,6690b6657a1b4be0bf440d317f504f7e,S24,30,Elite,1.0,0.467,1.0,3.167,372.833,29.987,361.256,45.7,519.733,1413.41,7.77,2540.122,23.943,0.433
ExyRL.,ef85899c096e4cb3a363515fc30b4e5e,S24,43,Elite,0.535,0.535,1.465,2.279,313.744,24.049,453.232,46.164,570.093,1590.559,16.971,3042.982,21.31,0.884
IcyWrenTTV,IcyWrenTTV,S24,27,Elite,0.444,0.37,1.37,1.741,280.481,24.021,377.985,49.677,434.111,1560.061,13.0,2750.113,18.997,0.519
Bolts,76561198103933754,S24,3,Elite,0.333,1.333,2.0,2.333,330.0,14.286,368.727,47.147,593.333,1506.856,12.709,3066.731,18.677,2.333
FlyFyre.,282d6d58105543e9a76c895fd4068795,S24,16,Elite,1.062,0.625,1.375,3.25,409.0,31.007,345.841,51.233,491.25,1538.56,13.682,2892.92,19.649,0.938
KamdenRL,2272641de7ad4113b079e5ca77599c16,S24,18,Elite,1.056,0.556,1.389,3.167,393.5,35.475,394.886,49.376,576.0,1596.18,17.318,2776.869,22.794,0.944
Cloudburst,76561198005510183,S24,53,Elite,0.792,0.415,1.396,2.736,357.019,29.165,430.723,46.616,558.302,1566.753,16.606,3066.587,19.695,1.094
Steeltoehammer,76561198449245537,S24,16,Elite,0.75,0.625,1.0,2.5,323.25,27.809,278.409,51.292,435.062,1478.276,7.845,3128.582,19.728,0.875
A Yapping Panda,c0ea6d8157c240d9b2acea3f4667c4bc,S24,49,Elite,0.857,0.429,1.388,2.857,359.571,32.181,412.531,53.258,592.408,1606.875,19.416,3029.273,21.874,1.816
Lad,76561198048238432,S24,19,Elite,0.737,0.579,1.158,2.737,333.474,26.073,338.457,47.766,568.895,1498.967,12.063,3194.468,22.992,1.0
Monty.,76561198085674381,S24,11,Elite,0.364,0.818,1.455,2.545,322.182,12.121,398.958,46.663,623.909,1603.706,16.943,2975.921,22.419,1.909
Torro,76561198272331430,S24,13,Elite,0.154,0.846,1.077,1.846,282.692,6.154,460.778,50.004,595.231,1644.179,21.769,2885.641,22.021,1.923
bradyK-,a6764e29b64a4a958e2e36e16bae1b0d,S24,18,Elite,0.667,0.556,1.278,2.278,314.556,28.889,386.17,49.364,571.889,1574.106,17.628,3077.741,20.807,0.611
Inflict,76561199013493239,S24,12,Elite,0.583,0.25,1.417,2.083,298.833,25.661,433.499,42.553,328.5,1596.272,17.799,3096.987,13.877,0.583
depressed vibez,5357638cce23475585365ae17bc88c40,S24,31,Elite,0.677,0.613,1.581,2.29,354.097,27.671,368.033,42.214,389.806,1472.668,10.287,2849.829,20.093,0.452
