Player,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
CascaReborn,S17,28,9Amateur,0.25,0.321,0.321,0.929,141.679,17.857,250.86,44.438,336.821,1362.886,5.062,3162.477,19.31,0.571
DeathMuffins_03,S17,35,9Amateur,0.743,0.543,0.743,2.114,254.4,40.331,173.645,57.631,226.143,1287.33,4.601,2974.083,18.809,0.314
Godsfarm,S17,49,9Amateur,0.878,0.429,0.571,2.184,271.531,41.973,270.178,51.801,322.592,1363.739,6.456,3175.834,21.382,0.755
KAKASHIXRAGE162,S17,42,9Amateur,0.857,0.738,0.667,2.548,312.714,35.466,338.139,56.984,528.619,1463.241,11.665,2847.87,21.157,1.786
ONLYSLIM2198,S17,28,9Amateur,0.786,0.429,0.5,2.107,256.143,39.977,384.293,43.31,442.107,1389.176,8.234,3178.121,20.537,0.429
SuperThr33s,S17,43,9Amateur,0.93,0.302,1.07,2.279,306.953,39.625,207.782,51.481,325.581,1295.319,3.713,3081.207,21.439,0.558
Urgirlismysideho,S17,56,9Amateur,1.125,0.661,1.214,3.25,409.571,34.114,319.529,59.719,372.143,1397.779,8.382,3118.114,18.864,0.625
Wrychew,S17,55,9Amateur,1.218,0.655,1.273,2.909,414.782,40.717,332.125,53.238,522.036,1425.922,8.219,2879.353,21.718,0.982
Ark7000,S17,54,9Amateur,0.722,0.444,1.111,2.019,309.556,35.06,357.404,50.198,455.685,1412.36,9.628,2989.762,20.954,0.944
Colossus4203316,S17,29,9Amateur,0.345,0.414,0.586,1.862,218.138,18.062,366.74,43.136,490.345,1479.243,10.15,2892.397,20.509,1.034
Freemak1,S17,35,9Amateur,0.543,0.486,0.971,2.114,281.743,24.222,298.038,55.942,322.314,1306.871,4.485,2810.929,20.128,0.171
Itchyramrod420,S17,49,9Amateur,0.816,0.469,0.959,2.163,313.837,39.128,361.503,53.342,407.49,1439.436,8.315,3140.637,19.835,0.776
JimmJammRumHam,S17,10,9Amateur,0.2,0.2,0.8,1.2,188.4,16.667,271.094,46.095,199.7,1371.079,6.974,3093.201,12.016,0.3
Rh1nosarus,S17,29,9Amateur,1.0,0.448,0.621,3.034,326.517,34.806,259.403,52.838,336.69,1329.538,5.086,3037.236,20.028,0.31
Wollyz,S17,40,9Amateur,0.75,0.45,0.8,1.75,254.625,46.397,249.371,54.942,409.675,1386.14,5.617,3280.064,18.684,0.975
Zsynz,S17,41,9Amateur,0.659,0.463,0.732,1.951,266.829,33.339,232.13,45.924,292.805,1343.83,5.441,3177.213,23.02,0.293
Blossom,S17,51,9Amateur,1.02,0.412,1.196,2.275,328.627,40.877,232.178,53.743,248.725,1281.642,2.809,3411.89,14.147,0.588
Gratzki,S17,13,9Amateur,0.462,0.538,1.077,0.923,237.462,57.692,279.325,46.073,275.308,1340.729,6.653,3312.828,12.542,0.538
L5rry,S17,14,9Amateur,0.286,0.071,0.357,0.643,134.5,42.857,393.382,36.274,536.929,1459.911,11.369,3458.857,17.352,1.286
NoBo_ostNaga,S17,47,9Amateur,0.532,0.255,1.0,1.489,257.319,37.994,280.645,48.395,304.809,1372.284,7.018,3142.522,15.557,0.319
Protocol,S17,51,9Amateur,0.569,0.373,1.118,1.569,294.667,34.687,288.618,52.961,355.941,1367.483,6.412,2945.995,17.848,0.255
Slashfabo420,S17,39,9Amateur,0.615,0.487,0.923,1.872,289.0,32.411,338.12,48.814,325.769,1407.369,6.849,2912.474,17.788,0.282
TechnikMusic,S17,51,9Amateur,0.98,0.471,0.824,2.431,310.49,41.743,297.174,38.497,431.941,1320.829,5.476,2931.185,19.376,0.843
YERP_YERP02,S17,48,9Amateur,0.604,0.5,0.729,1.708,255.979,40.159,276.001,47.5,337.854,1402.639,7.441,3046.098,22.131,0.813
Furian,S17,54,9Amateur,1.019,0.537,1.0,2.315,343.667,40.171,344.21,51.304,441.444,1445.899,8.614,3274.209,18.287,0.704
M00KiE.,S17,8,9Amateur,0.25,0.375,0.75,1.125,170.625,32.143,268.152,50.288,192.875,1402.769,4.668,3444.791,17.939,0.75
Rocci,S17,43,9Amateur,0.953,0.419,0.814,1.767,284.535,60.797,318.792,45.575,396.14,1388.564,6.471,3139.61,18.166,1.14
StaRazor,S17,56,9Amateur,1.071,0.536,1.429,3.071,383.286,35.507,333.662,59.358,394.464,1415.693,9.449,3313.68,17.175,0.661
llToxic_Dripll,S17,16,9Amateur,0.688,0.188,1.125,1.812,276.625,40.208,358.274,42.413,356.938,1365.533,7.979,2927.867,17.119,0.375
xEaglex20X,S17,52,9Amateur,1.135,0.635,1.288,2.904,402.846,42.366,369.444,52.63,518.058,1395.557,9.222,3095.666,20.132,1.115
The_Yung_Wolf,S17,42,9Amateur,0.643,0.405,0.833,1.81,272.119,34.582,359.775,47.94,336.333,1361.243,8.153,3130.059,16.821,0.429
Tigerblood2798,S17,19,9Amateur,0.474,0.211,0.895,1.579,228.789,23.86,160.861,44.345,227.421,1294.093,3.824,3244.745,17.702,0.368
T_i_m_o_g,S17,26,9Amateur,0.769,0.308,0.962,1.654,278.038,44.264,376.856,47.763,593.0,1529.48,13.419,3189.938,20.289,2.346
FULLBL00DN8V,S17,15,9Amateur,0.8,0.2,0.467,1.733,239.333,40.222,319.715,51.697,399.4,1429.808,9.029,3077.938,23.337,0.6
Styk75,S17,28,9Amateur,0.857,0.25,1.071,1.929,303.214,43.66,215.75,53.354,314.643,1274.14,4.303,3169.062,18.286,0.571
Rich-Rollin6060,S17,20,9Amateur,0.8,0.45,0.75,2.1,268.8,42.721,293.492,33.007,194.2,1389.398,7.292,3244.142,16.262,0.35
Kalandor4,S17,2,9Amateur,0.0,0.0,0.5,1.0,65.0,0.0,236.997,27.338,146.5,1336.977,4.208,2573.052,13.21,0.0
SIashFabo420,S17,8,9Amateur,0.75,0.625,0.875,2.25,319.5,33.333,358.465,51.785,391.25,1377.216,6.542,2918.574,19.652,0.0
Rhinocersaurus,S17,14,9Amateur,1.0,0.929,0.929,2.857,377.357,34.354,261.58,52.667,309.714,1331.269,4.958,2971.896,20.81,0.5
1arrry,S17,3,9Amateur,0.0,0.0,0.667,0.333,121.667,0.0,413.465,43.162,503.333,1446.4,11.139,3175.741,12.046,2.667
ous,S17,3,9Amateur,0.667,0.0,1.0,2.0,230.667,33.333,397.454,46.421,394.667,1524.182,11.636,2822.481,15.635,0.667
Alextross,S17,7,8Contender,0.429,0.571,0.714,2.143,233.429,19.388,319.149,51.256,646.714,1340.799,5.534,2806.742,25.146,1.429
Attonas,S17,9,8Contender,1.222,0.444,0.889,2.667,324.889,47.715,334.849,51.599,525.444,1408.099,8.636,3266.647,22.189,2.444
CanadianGamer78,S17,8,8Contender,0.375,0.25,0.875,1.0,258.375,37.5,307.149,52.768,414.0,1404.526,8.981,3065.58,19.541,1.125
Carno,S17,10,8Contender,0.8,0.6,1.1,2.5,328.4,30.182,328.703,51.878,499.4,1368.564,7.074,3148.05,19.488,0.8
Sel_en_ium,S17,5,8Contender,1.2,0.6,1.0,2.8,407.6,34.286,275.627,51.117,295.6,1335.996,4.926,2917.545,16.868,0.4
Speciial_Eddy,S17,4,8Contender,0.5,0.25,0.5,1.5,243.25,33.333,281.577,48.391,278.75,1328.587,6.297,2741.239,19.081,0.5
TTV_1738,S17,5,8Contender,0.4,0.4,0.6,2.2,243.6,18.0,404.138,49.563,554.8,1448.885,12.546,2770.975,24.069,1.4
kgfan3,S17,12,8Contender,0.75,0.583,1.417,2.0,362.25,36.376,314.148,49.793,454.417,1387.914,6.448,2832.789,19.177,0.75
LGUPorkers,S17,14,8Contender,0.571,0.357,1.143,1.857,336.714,24.212,366.08,56.648,559.5,1489.487,9.352,3043.992,20.017,1.857
Lorak,S17,8,8Contender,0.875,0.375,1.375,2.5,381.375,35.0,309.011,54.186,362.25,1444.832,11.026,3321.793,15.524,0.875
MXAPh4nt0m,S17,8,8Contender,0.25,0.375,1.25,2.125,267.875,12.879,277.982,57.023,445.75,1368.133,5.047,3055.752,21.584,0.5
Nags02,S17,7,8Contender,1.0,0.143,0.857,3.571,345.0,25.952,363.82,43.512,393.429,1381.221,7.794,2800.268,19.279,0.429
Shraggaholic,S17,7,8Contender,0.429,0.429,1.714,1.857,303.0,17.143,351.698,52.426,391.714,1437.157,7.382,3289.604,18.429,0.571
XuR,S17,1,8Contender,1.0,1.0,2.0,3.0,610.0,33.333,362.0,42.7,1717.0,1455.0,9.751,3420.0,18.414,0.0
Yerrp-,S17,10,8Contender,0.8,0.4,1.3,2.2,371.6,37.5,301.618,47.428,404.0,1395.289,6.658,2901.2,17.915,0.2
beNgr33dy,S17,8,8Contender,0.375,0.375,1.625,1.875,332.375,37.5,263.494,56.107,377.0,1407.156,8.104,3270.771,17.006,0.375
Buck_Nut82,S17,4,8Contender,0.5,0.25,0.25,0.75,162.75,66.667,350.516,47.452,325.5,1437.549,9.487,3625.345,18.429,0.75
D1REW00F,S17,7,8Contender,0.571,0.286,1.0,1.0,241.143,71.429,293.604,33.173,317.857,1439.081,6.954,3331.923,15.247,0.429
Heartlesswins,S17,8,8Contender,0.75,0.875,0.5,2.75,305.5,32.143,293.507,43.771,451.75,1467.499,9.844,2665.306,21.735,0.25
IvSHAMEvI,S17,3,8Contender,1.333,0.667,1.0,2.0,367.667,66.667,366.361,41.954,261.667,1418.219,8.467,2718.337,18.76,0.333
NiicoNiccoNiii,S17,8,8Contender,1.625,0.375,0.75,2.75,410.125,58.547,435.411,51.657,445.125,1629.826,21.558,3037.994,20.297,0.875
Outlaw K3,S17,6,8Contender,0.0,0.833,0.667,1.333,198.833,0.0,394.877,49.557,472.167,1389.67,7.231,2960.269,23.918,0.667
PapaMcStuffins,S17,8,8Contender,0.625,0.5,0.875,2.75,264.875,23.333,339.951,48.268,458.5,1413.18,9.067,2842.703,21.954,0.75
IIIYummyIII,S17,3,8Contender,1.0,0.0,1.333,1.667,307.333,60.0,311.398,55.745,381.667,1458.192,7.184,3052.502,19.696,1.333
TDogPlayz,S17,3,8Contender,0.0,0.0,1.333,2.0,230.667,0.0,405.55,48.574,404.667,1453.231,9.533,3200.184,18.431,0.667
TW Desty,S17,3,8Contender,0.0,1.0,0.667,1.667,235.0,0.0,300.349,45.593,134.667,1414.241,6.993,3079.626,16.29,0.0
itsnotaxtro,S17,3,8Contender,0.333,0.667,1.667,2.333,338.667,14.286,351.06,49.28,452.667,1382.843,8.515,3297.169,17.501,0.333
